[資料21]　大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２２(令和４)年８月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２２(令和４)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　8月17日～8月24日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　8月17日～8月24日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,,,,,,,,8月17日～24日,8月17日～24日,,,,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,8月17日～24日,,8月17日～24日,,
PCDDs,,"1,3,6,8TeCDD",0,0.0024,0.0009,0.12,0.087,0.10,0.13,0.12,0.14,0.17,0.13,,PCDDs,,"1,3,6,8TeCDD",0,0.004,0.001,0.077,0.066,,0.0024,0.0009,0.10,0.089,0.099,0.082,0.096,0.16,,0.025,0.0008,0.0003
,,"1,3,7,9TeCDD",0,0.0024,0.0009,0.043,0.034,0.038,0.049,0.040,0.053,0.063,0.046,,,,"1,3,7,9TeCDD",0,0.004,0.001,0.027,0.025,,0.0024,0.0009,0.037,0.033,0.036,0.031,0.034,0.051,,0.011,0.0008,0.0003
,,"2,3,7,8TeCDD",1,0.0024,0.0009,(0.0010),ND,ND,ND,ND,ND,(0.0010),ND,,,,"2,3,7,8TeCDD",1,0.004,0.001,ND,ND,,0.0024,0.0009,ND,ND,ND,ND,ND,ND,,ND,0.0008,0.0003
,,TeCDDs,,,,0.19,0.15,0.17,0.21,0.19,0.23,0.28,0.20,,,,TeCDDs,,,,0.12,0.10,,,,0.16,0.15,0.15,0.13,0.15,0.23,,0.044,,
,,"1,2,3,7,8PeCDD",1,0.004,0.001,(0.002),(0.002),(0.002),(0.002),(0.002),(0.002),(0.002),(0.002),,,,"1,2,3,7,8PeCDD",1,0.006,0.002,ND,ND,,0.004,0.001,(0.001),ND,ND,(0.001),(0.001),(0.002),,ND,0.0014,0.0004
,,PeCDDs,,,,0.062,0.053,0.052,0.061,0.055,0.067,0.084,0.052,,,,PeCDDs,,,,0.042,0.021,,,,0.057,0.043,0.043,0.039,0.040,0.052,,0.0096,,
,,"1,2,3,4,7,8HxCDD",0.1,0.004,0.001,(0.001),(0.001),(0.001),ND,(0.001),(0.001),(0.002),(0.002),,,,"1,2,3,4,7,8HxCDD",0.1,0.008,0.002,ND,ND,,0.004,0.001,(0.001),(0.001),(0.001),ND,ND,ND,,(0.0005),0.0013,0.0004
,,"1,2,3,6,7,8HxCDD",0.1,0.004,0.001,(0.003),(0.003),(0.003),(0.004),(0.003),(0.003),(0.004),(0.003),,,,"1,2,3,6,7,8HxCDD",0.1,0.011,0.003,(0.003),ND,,0.004,0.001,(0.003),(0.002),(0.003),(0.002),(0.002),(0.002),,(0.0006),0.0012,0.0004
,,"1,2,3,7,8,9HxCDD",0.1,0.006,0.002,ND,ND,(0.003),(0.004),(0.002),ND,(0.003),(0.002),,,,"1,2,3,7,8,9HxCDD",0.1,0.008,0.002,(0.002),ND,,0.006,0.002,ND,ND,ND,ND,ND,ND,,ND,0.0021,0.0006
