台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
指-1034,,30,環多改,三,24,清瀬市野塩一丁目１１８番１４外１筆,,,,,11,土壌概況,,,,,,,4.3,290,,不検出,,,不検出,0.4,不検出,,,,,,,,,,,,,,,,0.14,140,,適合,,,適合,0.075,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-1034,,30,環多改,三,24,清瀬市野塩一丁目１１８番１４外１筆,,,,,8,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.34,,適合,,,適合,0.12,適合,,,,,,,,,,,,,,,,,
指-971,,30,環改化,三,3,練馬区石神井台五丁目１２３０番８外４筆,,,,,8,土壌概況,,,,,,,0.4,46,,不検出,,不検出,不検出,不検出,0.3,不検出,,,,,,,,,,,,,,,適合,0.087,,,適合,,適合,適合,適合,適合,適合,,適合,,適合,,,,適合,64,,,,,,,適合,,1000,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-981,,30,環改化,三,6,葛飾区東新小岩八丁目１４６３番４,,,,,3,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.22,適合,,,,適合,,,,,,,,適合,適合,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-981,,30,環改化,三,6,葛飾区東新小岩八丁目１４６３番４,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,
指-1003,○,30,環改化,三,17,新宿区市谷加賀町一丁目３番１外２筆,,,,,161,土壌概況,,,,,,,61,200,不検出,10,不検出,不検出,0.1,280,0.8,不検出,不検出,0.2,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,2.8,16,,0.0027,,,適合,6.9,適合,,,適合,,,0.02,0.12,,,適合,,1.6,,,,,,,,3500,適合,,,適合,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-1003,○,30,環改化,三,17,新宿区市谷加賀町一丁目３番１外２筆,,,,,15,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.2,,0.057,,,適合,9.5,適合,,,適合,,,,,,,,,,,,,,
指-1003,○,30,環改化,三,17,新宿区市谷加賀町一丁目３番１外２筆,,,,,34,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,16,,0.0027,,,適合,6.9,適合,,,適合,,,0.02,0.12,,,,,1,,,,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-1003,○,30,環改化,三,17,新宿区市谷加賀町一丁目３番１外２筆,,,,,15,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.2,,0.057,,,適合,9.5,適合,,,適合,,,適合,適合,,,,,適合,,,,,
指-989,,30,環改化,三,23,目黒区緑が丘三丁目３１８４番２,,,,,2,土壌概況,,,,,,,0.9,35,,不検出,,,不検出,0.8,,,,,,,,,,,,,,,,,3.5,9.7,,0.0081,,,適合,3.1,,,,,,,,,,適合,,適合,適合,,,,,,,,,,,適合,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
