測定年度,測定局,"測定局
の区分",測定年度,4月(μｇ/ｍ3）,5月(μｇ/ｍ3）,6月(μｇ/ｍ3）,7月(μｇ/ｍ3）,8月(μｇ/ｍ3）,9月(μｇ/ｍ3）,10月(μｇ/ｍ3）,11月(μｇ/ｍ3）,12月(μｇ/ｍ3）,1月(μｇ/ｍ3）,2月(μｇ/ｍ3）,3月(μｇ/ｍ3）,年間(μｇ/ｍ3）,環境基準等(μｇ/ｍ3）注1,定量下限値(μｇ/ｍ3）注2,検出下限値(μｇ/ｍ3）注2,"公定法(μｇ/ｍ3） 毎月24時間
"
ﾍﾞﾝｾﾞﾝ,江東局,一般,2020(R2),0.44,0.66,0.73,0.69,0.64,0.41,0.46,0.74,0.7,0.68,0.72,0.54,0.61,3,0.2,0.06,―
ﾍﾞﾝｾﾞﾝ,大田局,一般,2020(R2),0.95,1.4,1.6,1.2,1.8,0.7,0.6,0.9,0.9,0.9,1.1,0.9,1.1,3,0.2,0.06,1.4
ﾍﾞﾝｾﾞﾝ,板橋局,一般,2020(R2),,,,,,,0.74,1.1,1.4,,,1.2,1.2,3,0.28,0.08,0.7
ﾍﾞﾝｾﾞﾝ,八幡山局,自排,2020(R2),0.54,0.46,0.98,0.49,0.57,0.52,0.65,0.79,1.23,0.95,0.83,0.64,0.71,3,0.2,0.06,0.78
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東局,一般,2020(R2),0.56,0.56,0.63,0.5,0.3,0.57,1,1.3,1.3,1,0.65,0.65,0.75,130,0.2,0.06,―
ﾄﾘｸﾛﾛｴﾁﾚﾝ,大田局,一般,2020(R2),1.6,1.4,1.5,1.8,0.93,1.8,2.7,2.7,2.9,2.9,1.5,1.8,2,130,0.2,0.06,2.8
ﾄﾘｸﾛﾛｴﾁﾚﾝ,板橋局,一般,2020(R2),,,,,,,1.2,1.6,1.7,,,1,1.3,130,0.057,0.017,0.63
ﾄﾘｸﾛﾛｴﾁﾚﾝ,八幡山局,自排,2020(R2),0.25,0.26,0.43,0.31,0.24,0.29,0.4,0.42,0.7,0.44,0.3,0.29,0.35,130,0.2,0.06,0.43
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東局,一般,2020(R2),0.09,0.08,0.09,0.08,0.06,0.08,0.16,0.18,0.22,0.14,0.11,0.07,0.12,200,0.2,0.06,―
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,大田局,一般,2020(R2),0.09,0.07,0.08,0.07,0.05,0.05,0.1,0.14,0.15,0.12,0.08,0.07,0.09,200,0.2,0.06,0.11
