表5-1  2021(令和３)年度有害大気汚染物質調査結果総括表,,,,,,,
（ベンゼン等優先取組物質21物質及びその他7物質）,,,,,,,
(1) 揮発性有機化合物,,,,,,,
（単位:μg/m3）,,,,,,,
測定地点（局）,,ベンゼン,トリクロロエチレン,テトラクロロエチレン,ジクロロメタン,アクリロニトリル,塩化ビニルモノマー
,中央区晴海,1.1,0.71,0.17,1.4,0.22,0.06
区,国設東京新宿,0.85,0.66,0.19,1.7,0.14,0.03
部,目黒区碑文谷,0.86,0.61,0.18,1.5,0.12,0.03
一,大田区東糀谷,1.7,4,0.16,1.7,0.38,0.05
般,板橋区氷川町,0.83,0.85,0.18,1.6,0.12,<0.03
,練馬区石神井町,0.78,0.98,0.25,1.7,0.09,<0.03
,足立区西新井,0.89,1.6,0.34,1.9,0.13,0.03
,江戸川区春江町,0.91,0.88,0.14,1.3,0.13,0.79
,区部一般環境 平均,0.98,1.3,0.2,1.6,0.16,0.13
,（令和2年度平均）,0.84,0.88,0.16,1.1,0.1,0.05
多,八王子市片倉町,0.72,0.41,0.09,1.2,<0.04,<0.03
摩,八王子市大楽寺町,0.64,0.51,0.12,1.2,<0.04,<0.03
一,小金井市貫井北町,0.8,0.61,0.17,1.5,0.1,0.04
般,東大和市奈良橋,0.81,0.51,0.11,1.3,0.11,<0.03
,多摩部一般環境 平均,0.74,0.51,0.12,1.3,0.06,0.02
,（令和2年度平均）,0.68,0.39,0.09,1,0.03,0.03
都一般環境 平均,,0.9,1,0.17,1.5,0.13,0.09
,（令和2年度平均）,0.79,0.72,0.14,1.1,0.08,0.04
沿,京葉道路亀戸,1,1.7,0.2,1.5,0.18,0.09
道,環八通り八幡山,0.98,0.62,0.2,1.8,0.12,<0.03
,沿道 平均,1,1.1,0.2,1.6,0.15,0.06
,（令和2年度平均）,0.88,0.8,0.13,1.1,0.12,0.1
檜原（バックグラウンド）,,0.45,0.19,0.05,0.75,0.04,<0.03
,（令和2年度平均）,0.5,0.19,0.04,0.71,( <0.06),0.02
基準値等,,環境基準,環境基準,環境基準,環境基準,指針値,指針値
,,3,130,200,150,2,10
定量下限値,,0.08,0.12,0.15,0.14,0.13,0.09
検出下限値,,0.03,0.04,0.05,0.04,0.04,0.03
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,
注3）測定機器の変更等により、定量下限値及び検出下限値が、前年度とは異なる物質がある。,,,,,,,
注4）指針値（環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値）,,,,,,,
注5）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,
異なる場合がある。,,,,,,,
注6）トリクロロエチレンは、2018（平成30）年度から環境基準200μg/m3から130μg/m3に改正,,,,,,,
