年度,事業所番号,事業所等 名称,事業所等 所在地,事業所等 延床面積(m2),二酸化炭素排出量（燃料等）(t-CO2),二酸化炭素排出量（上下水道）(t-CO2),組織体制の整備 重点対策(1),組織体制の整備 重点対策(2),組織体制の整備 重点対策(3),組織体制の整備 重点対策(4),組織体制の整備 その他対策(1),組織体制の整備 その他対策(2),組織体制の整備 その他対策(3),組織体制の整備 その他対策(4),エネルギー等の使用状況の把握 重点対策(1),エネルギー等の使用状況の把握 重点対策(2),エネルギー等の使用状況の把握 重点対策(3),エネルギー等の使用状況の把握 その他対策(1),エネルギー等の使用状況の把握 その他対策(2),エネルギー等の使用状況の把握 その他対策(3),運用対策 重点対策(1),運用対策 重点対策(2),運用対策 重点対策(3),運用対策 重点対策(4),運用対策 重点対策(5),運用対策 重点対策(6),運用対策 重点対策(7),運用対策 重点対策(8),運用対策 重点対策(9),運用対策 その他対策(1),運用対策 その他対策(2),運用対策 その他対策(3),運用対策 その他対策(4),運用対策 その他対策(5),運用対策 その他対策(6),運用対策 その他対策(7),運用対策 その他対策(8),運用対策 その他対策(9),設備保守対策 重点対策(1),設備保守対策 重点対策(2),設備保守対策 重点対策(3),設備保守対策 重点対策(4),設備保守対策 その他対策(1),設備保守対策 その他対策(2),設備保守対策 その他対策(3),設備保守対策 その他対策(4),設備導入対策 重点対策(1),設備導入対策 重点対策(2),設備導入対策 重点対策(3),設備導入対策 重点対策(4),設備導入対策 その他対策(1),設備導入対策 その他対策(2),設備導入対策 その他対策(3),設備導入対策 その他対策(4)
2015,0101,東京都人権プラザ,東京都台東区橋場1丁目1番6号,2342,60,0,,,,,,,,,B103　時間的に詳細に把握,B106　過去のデータによる傾向の把握,B107　主要設備の使用状況の把握,,,,C105　昼休み時の消灯の実施,C113　中間期における外気冷房の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,D101　ランプ等の定期的な清掃・交換,,,,,,,,E103　高効率照明器具の採用（屋内）,E109　空調の冷温水配管の保温の実施,,,,,,
2015,0102,三宅支庁庁舎,東京都三宅島三宅村伊豆642,5031,81,0,A205　取組内容や点検体制の定期的改善,,,,,,,,B107　主要設備の使用状況の把握,,,,,,C105　昼休み時の消灯の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,C224　看板照明点灯時間の季節別管理,,,,,,,,,,,,,,,D105　換気フィルターの清掃・点検,,,,,,,,E103　高効率照明器具の採用（屋内）,,,,,,,
2015,0103,八丈支庁,東京都八丈町大賀郷2466-2,5192,144,0,,,,,A206　所内の温室効果ガス排出量を集計,,,,B106　過去のデータによる傾向の把握,B107　主要設備の使用状況の把握,,,,,C105　昼休み時の消灯の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0104,旧八丈支庁庁舎,東京都八丈町大賀郷1186,689,11,0,,,,,A206　所内の温室効果ガス排出量を集計,,,,B106　過去のデータによる傾向の把握,B107　主要設備の使用状況の把握,,,,,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0105,二ッ塚中継局舎,東京都青梅市長淵9丁目1417-115,130,50,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0106,夜明山中継局舎,東京都小笠原村父島字夜明山48,28,8,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0107,東京都大島倉庫,東京都大島町元町字小清水273-8,130,0,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,,,,,,,,,C101　空室・不在時等のこまめな消灯,,,,,,,,,,,,,,,,,,,,,,,,
2015,0108,小笠原支庁庁舎,東京都小笠原村父島字西町,2043,119,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,C113　中間期における外気冷房の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0109,新島村無線局発電機室,東京都新島村本村1丁目1番1号,10,5,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0110,神津島村無線局発電機室,東京都神津島村904番地,10,5,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0111,東京都大島支庁車庫,東京都大島町元町字小清水273-8,388,0,0,,,,,,,,,,,,,,,,,,,,,,,,CA01　空室・不在時等のこまめな消灯,,,,,,,,,,,,,,,,,,,,,,,,
2015,0112,東京都立川地域防災センター防災棟,東京都立川市緑町3233-2他,7303,241,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0113,多摩稲城中継所局舎,東京都稲城市若葉台4丁目24番,120,35,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0114,南氷川中継所局舎,東京都西多摩郡奥多摩町氷川字南氷川1538番2,32,3,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0115,白鬚中継所局舎,東京都墨田区堤通2丁目8-14,79,10,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0116,大島中継所発電機室,東京都大島町元町小清水273-8,22,12,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0117,神津島中継所無線局舎,東京都神津島村字秩父山96-2,42,7,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0118,御蔵島村中継所無線局舎,東京都御蔵島村南郷字坂の上1455,58,13,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0120,御蔵島村無線局舎,東京都御蔵島村南郷入かねが沢,50,4,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0121,三原山中継所無線局舎,東京都八丈町大賀郷2063-2,156,15,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0122,小笠原支庁母島出張所庁舎,東京都小笠原村母島字元地,904,33,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,C113　中間期における外気冷房の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,D101　ランプ等の定期的な清掃・交換,,,,,,,,E103　高効率照明器具の採用（屋内）,E109　空調の冷温水配管の保温の実施,,,,,,
2015,0123,大島支庁庁舎,東京都大島町元町字オンダシ222-1,3762,122,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0125,首都大学東京晴海校舎,東京都中央区晴海1-2-2,9869,283,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0126,大島支庁新島出張所・島しょ保健所新島支所(総務局分,東京都新島村本村6-4-24,471,11,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0127,小笠原地区テレビ放送難視聴解消事業用局舎(父島),東京都小笠原村父島字洲崎29番地,102,9,0,,,,,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0128,小笠原地区テレビ放送難視聴解消事業用局舎(母島),東京都小笠原村母島字元地199番地3・5,102,28,0,,,,,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0129,宮塚山中継所局舎,東京都新島村本村字宮塚山215番2ほか,136,21,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0131,八丈支庁土木課水防倉庫,東京都八丈町三根384外,242,0,0,,,,,A206　所内の温室効果ガス排出量を集計,,,,B106　過去のデータによる傾向の把握,B107　主要設備の使用状況の把握,,,,,C105　昼休み時の消灯の実施,C123　温湿度の適正管理,C115　事務用機器を業務終了時に停止,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0132,大島支庁神津島出張所,東京都神津島村1204,415,6,0,,,,,,,,,,,,,,,C105　昼休み時の消灯の実施,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0133,東京都職員研修所,東京都江東区青海2丁目5番10号,6570,72,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0135,青ケ島村役場発電機室,東京都青ヶ島村無番地,18,10,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0136,一般財団法人東京都人材支援事業団,東京都新宿区歌舞伎町2丁目44番1号,206,37,0,,,,,A203　具体的な取組目標と内容の設定,A206　所内の温室効果ガス排出量を集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0201,旧丸の内庁舎,東京都千代田区丸の内3丁目8-1,26991,2711,17,A404　テナントへの温暖化対策協力依頼,,,,A401　テナントにエネルギー使用量提供,A402　使用量の推計に必要な情報の提供,,,B107　主要設備の使用状況の把握,,,,,,,,,,,,,,,C102　照明スイッチに点灯範囲を表示,C104　採光を利用した消灯の実施,C106　冷暖房温度を都の推奨値へ変更,C107　空調機スイッチに空調範囲を表示,C108　温度計等による室温の把握と調整,C111　予熱・予冷時の外気導入の停止,C126　事務用機器の台数見直し・集約化,,,D103　中央熱源機器等の定期点検の実施,D105　換気フィルターの清掃・点検,,,D102　セントラル空調のフィルター清掃,D104　空調フィルターの清掃・点検,D108　その他設備の定期的な保守・点検,,,,,,,,,
2015,0202,品川区総合庁舎,東京都品川区広町2-1-36,6119,154,1,A201　地球温暖化対策の方針等の設定,A205　取組内容や点検体制の定期的改善,A208　組織横断的な推進体制の整備,,A206　所内の温室効果ガス排出量を集計,,,,,,,B105　エネルギー使用量の前年度比較,,,C105　昼休み時の消灯の実施,,,,,,,,,C101　空室・不在時等のこまめな消灯,C102　照明スイッチに点灯範囲を表示,C103　日本工業規格の照度以下の設定,C104　採光を利用した消灯の実施,C114　事務用機器を省エネモードに設定,,,,,,,,,,,,,,,,,,,,
2015,0203,渋谷区総合庁舎,東京都渋谷区宇田川町1丁目1,2911,71,0,A502　ビルで設置する推進体制への協力,,,,A501　ビル所有者の対策や要請に協力,,,,,,,B102　関連他者からの情報を加えて把握,B105　エネルギー使用量の前年度比較,,C105　昼休み時の消灯の実施,C115　事務用機器を業務終了時に停止,,,,,,,,C101　空室・不在時等のこまめな消灯,C106　冷暖房温度を都の推奨値へ変更,C114　事務用機器を省エネモードに設定,C116　個人用端末の不用・離席時の停止,,,,,,,,,,,,,,,,,,,,,
