大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２１(令和３)年１１月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２１(令和３)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3）年　11月12日～11月19日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3）年　11月12日～11月19日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,,,,,,,,11月12日～19日,11月12日～19日,,,,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,11月12日～19日,,11月12日～19日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0015,0.0003,0.11,0.075,0.086,0.1,0.064,0.2,0.14,0.16,,PCDDs,,"1,3,6,8-TeCDD",0,0.005,0.001,0.033,0.028,,0.0015,0.0003,0.061,0.046,0.06,0.035,0.034,0.18,,0.035,0.0005,0.0001
,,"1,3,7,9-TeCDD",0,0.0015,0.0003,0.05,0.034,0.038,0.041,0.029,0.11,0.058,0.077,,,,"1,3,7,9-TeCDD",0,0.005,0.001,0.012,0.011,,0.0015,0.0003,0.027,0.02,0.027,0.015,0.014,0.08,,0.016,0.0005,0.0001
,,"2,3,7,8-TeCDD",1,0.0015,0.0003,0.0015,0.001,0.0011,0.0022,0.001,0.0014,0.0024,0.002,,,,"2,3,7,8-TeCDD",1,0.005,0.001,      ND,      ND,,0.0015,0.0003,0.0011,0.0008,0.0006,0.0005,ND,0.0027,,0.001,0.0005,0.0001
,,TeCDDs,－,―,―,0.21,0.15,0.16,0.18,0.12,0.39,0.25,0.3,,,,TeCDDs,－,－,－,0.055,0.047,,―,―,0.12,0.086,0.11,0.066,0.058,0.37,,0.097,―,―
,,"1,2,3,7,8-PeCDD",1,0.0021,0.0006,0.0052,ND,0.0036,0.0042,0.0039,0.0069,0.0084,0.007,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,0.001,      ND,,0.0021,0.0006,0.0027,0.0034,0.0028,0.0018,0.0024,0.0095,,0.0028,0.0007,0.0002
,,PeCDDs,－,―,―,0.13,0.071,0.096,0.099,0.081,0.2,0.15,0.16,,,,PeCDDs,－,－,－,0.034,0.027,,―,―,0.061,0.061,0.069,0.043,0.036,0.22,,0.083,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,0.009,0.003,0.005,0.005,0.006,0.008,0.014,0.012,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.005,0.001,0.003,0.004,0.004,0.002,0.003,0.011,,0.0025,0.0016,0.0005
,,"1,2,3,6,7,8-HxCDD",0.1,0.004,0.001,0.016,0.007,0.009,0.01,0.011,0.017,0.022,0.023,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.005,0.003,,0.004,0.001,0.007,0.008,0.008,0.005,ND,0.016,,0.0043,0.0012,0.0004
,,"1,2,3,7,8,9-HxCDD",0.1,0.0027,0.0009,0.017,0.0066,0.0076,0.0083,0.0093,0.013,0.021,0.022,,,,"1,2,3,7,8,9-HxCDD",0.1,0.007,0.002,0.003,0.002,,0.0027,0.0009,0.0056,0.0062,0.0062,0.0034,0.0054,0.015,,0.0028,0.0009,0.0003
,,HxCDDs,－,―,―,0.22,0.11,0.13,0.14,0.16,0.23,0.3,0.3,,,,HxCDDs,－,－,－,0.057,0.043,,―,―,0.089,0.11,0.11,0.066,0.065,0.25,,0.082,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.008,0.002,0.21,0.068,0.061,0.078,0.11,0.14,0.34,0.31,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.004,0.046,0.037,,0.008,0.002,0.067,0.072,0.083,0.034,0.069,0.17,,0.018,0.0028,0.0008
,,HpCDDs,－,―,―,0.46,0.15,0.14,0.17,0.24,0.34,0.8,0.75,,,,HpCDDs,－,－,－,0.092,0.072,,―,―,0.14,0.15,0.18,0.076,0.15,0.35,,0.047,―,―
,,OCDD,0.0003,0.015,0.006,1,0.34,0.28,0.46,0.74,0.68,1.7,1.7,,,,OCDD,0.0003,0.024,0.007,0.44,0.32,,0.015,0.006,0.69,0.5,0.79,0.33,0.75,1.2,,0.046,0.005,0.002
,,Total PCDDs,－,―,―,2,0.81,0.81,1.1,1.3,1.8,3.2,3.2,,,,Total PCDDs,－,－,－,0.68,0.51,,―,―,1.1,0.91,1.2,0.58,1.1,2.4,,0.36,―,―
