(2) アルデヒド類、ベンゾ[a]ピレン,,,,
（単位:μg/m3；ベンゾ[a]ピレン:ng/m3）,,,,
測定地点（局）,,"アセト
アルデヒド","ホルム
アルデヒド",ベンゾ[a]ピレン
,中央区晴海,3.4,2.9,0.2
区,国設東京新宿,3.2,2.7,0.1
部,目黒区碑文谷,3.2,2.9,0.09
一,大田区東糀谷,4.8,3.8,0.65
般,板橋区氷川町,3.5,3.5,0.08
,練馬区石神井町,2.7,2,0.08
,足立区西新井,3.1,2.8,0.1
,江戸川区春江町,3.1,2.9,0.11
,区部一般環境 平均,3.4,2.9,0.17
,（令和2年度平均）,2.7,2.4,0.16
多,八王子市片倉町,2.1,1.9,0.08
摩,八王子市大楽寺町,1.9,1.9,0.06
一,小金井市貫井北町,3.7,3.2,0.08
般,東大和市奈良橋,3,2,0.11
,多摩部一般環境 平均,2.7,2.3,0.08
,（令和2年度平均）,2.5,2.1,0.07
都一般環境 平均,,3.2,2.7,0.14
,（令和2年度平均）,2.6,2.3,0.13
沿,京葉道路亀戸,3.6,2.7,0.17
道,環八通り八幡山,3.3,2.9,0.1
,沿道 平均,3.5,2.8,0.14
,（令和2年度平均）,2.6,2.4,0.12
檜原（バックグラウンド）,,1.8,1,0.04
,（令和2年度平均）,1.8,1.2,0.07
基準値等,,指針値,*,**
,,120,0.8,0.12
定量下限値,,0.8,0.8,0.05
検出下限値,,0.3,0.3,0.02
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,
注3）表中の   指針値（環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値）,,,,
*  基準参考値（U.S.EPA 発がん性のユニットリスク10-5レベルの換算値）,,,,
** 基準参考値（WHO欧州地域事務局のガイドライン値）,,,,
注4）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,
異なる場合がある。,,,,
