大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２２(令和４)年２月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２２(令和４)年２月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　2月3日～2月9日*）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　2月3日～2月10日）,,,,単位：pg/m3,,,,（2022(令和4）年　2月3日～2月9日*）,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,,,,,,,,2月3日～10日,2月3日～10日,,,,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,2月3日～9日*,,2月3日～9日*,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0017,0.0003,0.031,0.036,0.025,0.033,0.019,0.035,0.036,0.045,,PCDDs,,"1,3,6,8-TeCDD",0,0.005,0.001,0.019,0.015,,0.0017,0.0003,0.023,0.018,0.022,0.013,0.021,0.065,,0.0079,0.0006,0.0001
,,"1,3,7,9-TeCDD",0,0.0017,0.0003,0.016,0.02,0.012,0.018,0.0098,0.019,0.019,0.025,,,,"1,3,7,9-TeCDD",0,0.005,0.001,0.009,0.008,,0.0017,0.0003,0.012,0.009,0.011,0.0068,0.011,0.033,,0.0039,0.0006,0.0001
,,"2,3,7,8-TeCDD",1,0.0017,0.0003,ND,0.0006,0.0005,ND,ND,ND,0.0016,0.0017,,,,"2,3,7,8-TeCDD",1,0.005,0.001,      ND,      ND,,0.0017,0.0003,ND,0.0006,0.0006,ND,ND,0.0013,,0.0003,0.0006,0.0001
,,TeCDDs,－,―,―,0.058,0.071,0.056,0.071,0.038,0.076,0.087,0.1,,,,TeCDDs,－,－,－,0.033,0.03,,―,―,0.054,0.039,0.048,0.028,0.046,0.15,,0.017,―,―
,,"1,2,3,7,8-PeCDD",1,0.0024,0.0007,0.0023,0.0029,0.0021,0.0024,0.0019,0.0035,0.0045,ND,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,      ND,      ND,,0.0024,0.0007,0.0019,0.0018,0.0022,0.002,0.0019,0.005,,0.0006,0.0008,0.0002
,,PeCDDs,－,―,―,0.058,0.049,0.057,0.068,0.034,0.07,0.076,0.087,,,,PeCDDs,－,－,－,0.032,0.026,,―,―,0.044,0.028,0.051,0.021,0.036,0.16,,0.01,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.006,0.002,0.002,0.002,0.002,ND,0.002,0.003,0.005,0.004,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.006,0.002,ND,ND,0.002,ND,ND,0.005,,0.0007,0.0019,0.0006
,,"1,2,3,6,7,8-HxCDD",0.1,0.004,0.001,0.005,0.005,0.005,0.005,0.004,0.006,0.006,0.007,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.004,0.003,,0.004,0.001,0.005,0.004,ND,0.004,0.004,0.009,,0.0018,0.0014,0.0005
,,"1,2,3,7,8,9-HxCDD",0.1,0.003,0.001,0.004,0.004,0.003,0.004,0.004,0.005,0.006,0.006,,,,"1,2,3,7,8,9-HxCDD",0.1,0.007,0.002,0.002,      ND,,0.003,0.001,0.003,0.003,0.004,ND,0.003,0.007,,0.0012,0.001,0.0003
,,HxCDDs,－,―,―,0.07,0.067,0.06,0.083,0.044,0.09,0.089,0.1,,,,HxCDDs,－,－,－,0.051,0.033,,―,―,0.052,0.045,0.056,0.033,0.045,0.14,,0.019,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.01,0.003,0.023,0.045,0.027,0.028,0.017,0.049,0.036,0.039,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.004,0.023,0.015,,0.01,0.003,0.018,0.02,0.023,0.016,0.019,0.038,,0.0088,0.0032,0.0009
,,HpCDDs,－,―,―,0.049,0.089,0.055,0.062,0.036,0.11,0.087,0.085,,,,HpCDDs,－,－,－,0.051,0.032,,―,―,0.038,0.042,0.046,0.032,0.043,0.079,,0.017,―,―
