規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18.1,17.2,147.5,153.6,137.9,132.5,136.6,126.1,15,17,11.8
100～499人,17.9,18.4,17.3,148.1,157.1,135.5,134.6,141.1,125.6,13.5,16,9.9
100人以上,17.8,18.2,17.2,147.8,155.4,136.6,133.6,138.9,125.8,14.2,16.5,10.8
30～99人,17.4,18,16.7,139.4,151.3,123.9,127.8,135.9,117.3,11.6,15.4,6.6
５～29人,16.6,17.8,15.4,124.3,141.3,107.4,117.1,130.8,103.5,7.2,10.5,3.9
30人以上,17.7,18.2,17,145,154.1,132.3,131.7,138,122.9,13.3,16.1,9.4
５人以上,17.4,18.1,16.5,138.9,150.7,123.9,127.4,136.1,116.4,11.5,14.6,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
