規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.7,149.8,134,15.8,12,80.2,76.4,3.8
100～499人,18.1,153.9,138,15.9,13.5,85.5,81.7,3.8
100人以上,17.9,151.8,135.9,15.9,13,83.5,79.7,3.8
30～99人,17.6,147.9,135,12.9,11.5,68.1,66.3,1.8
５～29人,18.1,148.6,138.5,10.1,11.4,66.1,64.5,1.6
30人以上,17.8,150.7,135.7,15,12.3,76.6,73.7,2.9
５人以上,17.9,150.2,136.4,13.8,11.9,71.7,69.4,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（暫定版）,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
