規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,500427,469091,429264,39827,31336,140818,138910,131505,7405,1908
100～499人,422475,409991,379323,30668,12484,136323,135441,129783,5658,882
100人以上,463445,441053,405572,35481,22392,138058,136780,130448,6332,1278
30～99人,384095,364943,340959,23984,19152,104537,101985,99560,2425,2552
５～29人,365096,345878,327093,18785,19218,93353,92250,90211,2039,1103
30人以上,440535,419078,386916,32162,21457,122985,121134,116559,4575,1851
５人以上,422184,401272,372364,28908,20912,109211,107707,104311,3396,1504
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（暫定版）,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
