規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,458035,537758,335799,431282,504416,319148,395166,36116,26753,33342,16651
100～499人,368104,432719,276655,356704,419829,267364,330143,26561,11400,12890,9291
100人以上,411784,484587,304678,392927,461598,291900,361725,31202,18857,22989,12778
30～99人,323767,387609,239594,311410,371906,231649,293479,17931,12357,15703,7945
５～29人,257927,327019,188502,246041,309855,181919,233878,12163,11886,17164,6583
30人以上,383604,454496,282926,366828,433768,271763,339875,26953,16776,20728,11163
５人以上,346122,420547,250910,330804,400768,241300,308262,22542,15318,19779,9610
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（確報）,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
