産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,683105,8.5,76.2,84.7,1.33,-0.03
鉱業，採石業，砂利採取業,1724998,17.2,100,100,3.42,0.89
建設業,932271,4.6,87.2,92.1,1.79,-0.29
製造業,896858,15.3,74.9,81.9,1.54,0.25
電気・ガス・熱供給・水道業,1000958,-4.4,68.6,78.2,2.02,-0.36
情報通信業,804078,6.1,82.8,88,1.75,0.25
運輸業，郵便業,534220,17.6,76.6,79.6,1.2,-0.1
卸売業，小売業,834930,6.9,74.1,85.3,1.47,0.06
"金融業,保険業",1024721,-6.6,87.6,96.4,2.39,0
不動産業，物品賃貸業,834140,12.9,79.5,90.4,1.83,0.22
学術研究，専門・技術サービス業,867575,25.3,82.1,89,1.51,-0.05
宿泊業，飲食サービス業,137290,67.8,61.7,65.4,0.41,-0.09
生活関連サービス業，娯楽業,267369,3,87.2,90.5,0.79,0.3
教育，学習支援業,663935,18.6,92.7,97.1,1.58,0.02
医療，福祉,333343,-20.5,69.6,81.2,0.88,-0.52
複合サービス事業,687241,25.7,100,100,1.61,0.13
サービス業（他に分類されないもの）,338855,24.1,72.9,75.7,1.11,-0.02
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年夏季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
