規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,475855,560476,349979,439650,514327,328567,400865,38785,36205,46149,21412
100～499人,386212,453402,293245,366982,431716,277415,338348,28634,19230,21686,15830
100人以上,429869,506344,320271,402372,472562,301782,368795,33577,27497,33782,18489
30～99人,335752,401346,252056,314863,375328,237711,295350,19513,20889,26018,14345
５～29人,265838,338087,194967,249216,316363,183349,237022,12194,16622,21724,11618
30人以上,399460,473544,297223,374098,442187,280134,345065,29033,25362,31357,17089
５人以上,359690,437549,262726,336929,408752,247483,312908,24021,22761,28797,15243
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年11月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
