事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成29,2017,年平均,20.2,168.4,155.8,12.6,12.8,77.9,75.3,2.6
５～29人,平成30,2018,年平均,20.2,166.4,155.1,11.3,12.5,74.2,71.6,2.6
５～29人,平成31・令和元,2019,年平均,19.8,162.8,151.8,11,12.1,72,69.5,2.5
５～29人,令和２,2020,年平均,19.1,156.5,146.9,9.6,11.4,66.7,64.9,1.8
５～29人,令和３,2021,年平均,19.3,157.9,147.9,10,11.5,66.3,64.7,1.6
５～29人,令和４,2022,年平均,19.4,159,148.4,10.6,12,69.5,67.6,1.9
５～29人,令和４,2022,1月,18.1,148.9,138.8,10.1,11.4,66.3,64.6,1.7
５～29人,令和４,2022,2月,18.8,153.8,143.6,10.2,11.3,64.6,63.2,1.4
５～29人,令和４,2022,3月,19.4,159.5,148.3,11.2,11.7,67.7,66.2,1.5
５～29人,令和４,2022,4月,20.3,166.6,155.5,11.1,12.1,69.8,68,1.8
５～29人,令和４,2022,5月,18.3,150.6,140.8,9.8,11.8,68.4,66.5,1.9
５～29人,令和４,2022,6月,20.6,168.5,157.9,10.6,12.6,72,70,2
５～29人,令和４,2022,7月,19.9,163.5,152.6,10.9,12.5,72.1,70.1,2
５～29人,令和４,2022,8月,18.6,152.4,142.4,10,11.9,69.8,67.7,2.1
５～29人,令和４,2022,9月,19.6,160.7,150,10.7,12.3,71.3,69.2,2.1
５～29人,令和４,2022,10月,19.4,159.2,148.4,10.8,12.1,70,68.1,1.9
５～29人,令和４,2022,11月,19.7,161.8,151,10.8,12.2,70.4,68.4,2
５～29人,令和４,2022,12月,19.8,162.6,151.6,11,12.2,71.4,69.2,2.2
30～99人,平成29,2017,年平均,19.6,163.4,149.8,13.6,14.1,81.4,79.2,2.2
30～99人,平成30,2018,年平均,19.8,165.9,151.2,14.7,13.7,79,76.8,2.2
30～99人,平成31・令和元,2019,年平均,19.3,163.4,147.7,15.7,12.8,75.6,72.5,3.1
30～99人,令和２,2020,年平均,18.8,157.1,144,13.1,12.1,71.1,68.4,2.7
30～99人,令和３,2021,年平均,18.7,157.1,143.3,13.8,12.2,69.9,68.4,1.5
30～99人,令和４,2022,年平均,18.6,157.6,143.1,14.5,12.8,74.8,72.7,2.1
30～99人,令和４,2022,1月,17.6,148,135,13,12.2,70.6,68.6,2
30～99人,令和４,2022,2月,17.6,148.6,135.1,13.5,11.9,66.4,64.9,1.5
30～99人,令和４,2022,3月,18.8,160.1,144.1,16,12.7,69.7,68,1.7
30～99人,令和４,2022,4月,19.6,166.5,150.4,16.1,13.2,74.6,72.7,1.9
30～99人,令和４,2022,5月,17.8,151,137.3,13.7,12.5,74.2,72,2.2
30～99人,令和４,2022,6月,19.7,166,151.4,14.6,13.3,81.9,78.9,3
30～99人,令和４,2022,7月,19.2,161.3,147.4,13.9,13.2,79.6,77.2,2.4
30～99人,令和４,2022,8月,17.8,150.4,137.5,12.9,12.9,75.6,73.3,2.3
30～99人,令和４,2022,9月,18.7,158.3,143.9,14.4,13.3,76.8,74.7,2.1
30～99人,令和４,2022,10月,18.9,160.1,144.6,15.5,12.7,75.7,73.5,2.2
30～99人,令和４,2022,11月,19,161,146.1,14.9,13.3,76.9,74.8,2.1
30～99人,令和４,2022,12月,18.9,160.2,145,15.2,12.5,75.6,73.4,2.2
100～499人,平成29,2017,年平均,19.3,162.2,147.1,15.1,14.7,89.7,86.7,3
100～499人,平成30,2018,年平均,19.1,159.8,145.5,14.3,14.4,89.1,85.6,3.5
100～499人,平成31・令和元,2019,年平均,18.8,156.9,142.1,14.8,13.8,87,83.3,3.7
100～499人,令和２,2020,年平均,18.7,153.8,140.2,13.6,13.6,84.6,80.7,3.9
100～499人,令和３,2021,年平均,18.8,159.2,143.8,15.4,14.2,90.5,86.6,3.9
100～499人,令和４,2022,年平均,18.8,160.6,144.5,16.1,14.2,90.1,86.2,3.9
100～499人,令和４,2022,1月,17.9,153.2,137.2,16,13.9,87.3,83.2,4.1
100～499人,令和４,2022,2月,17.7,151.1,135.2,15.9,13.6,86.3,82.5,3.8
100～499人,令和４,2022,3月,18.9,161.3,144.6,16.7,13.4,81.3,77.8,3.5
100～499人,令和４,2022,4月,19.6,166.2,149.2,17,14,90,85.9,4.1
100～499人,令和４,2022,5月,18,154.1,138.5,15.6,14.7,93.4,89.2,4.2
100～499人,令和４,2022,6月,19.8,168.3,152,16.3,14.6,93.6,89.4,4.2
100～499人,令和４,2022,7月,19.5,166.4,150.3,16.1,14.8,93.8,89.8,4
100～499人,令和４,2022,8月,18.7,159.2,144.4,14.8,14.6,92.8,89,3.8
100～499人,令和４,2022,9月,18.7,160.8,145.2,15.6,14.6,93.1,89,4.1
100～499人,令和４,2022,10月,18.9,162.1,145.6,16.5,14.3,92.4,88.5,3.9
100～499人,令和４,2022,11月,19.1,163.2,146.6,16.6,14.3,90.7,87,3.7
100～499人,令和４,2022,12月,18.9,161.7,145.6,16.1,13.8,85.1,81.4,3.7
500人以上,平成29,2017,年平均,19,159.3,143.8,15.5,13.4,85.9,82.9,3
500人以上,平成30,2018,年平均,19,159,144.3,14.7,14.6,101.3,96.5,4.8
500人以上,平成31・令和元,2019,年平均,18.6,155.9,140.2,15.7,13.4,91.8,87.5,4.3
500人以上,令和２,2020,年平均,18.4,153.5,138.6,14.9,12.2,80.8,77.3,3.5
