規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19.2,17.8,155.8,163.5,143.8,139.3,144.7,130.9,16.5,18.8,12.9
100～499人,18.6,19.3,17.6,152.1,164.3,135.5,137.5,146.6,125.1,14.6,17.7,10.4
100人以上,18.6,19.2,17.7,153.9,163.8,139.4,138.4,145.6,127.8,15.5,18.2,11.6
30～99人,18,18.7,17,143.7,158.4,125.3,131.1,141.6,117.9,12.6,16.8,7.4
５～29人,17,18.2,15.7,127.8,145.2,110.7,120.4,134.5,106.6,7.4,10.7,4.1
30人以上,18.4,19.1,17.5,150.6,162.2,134.7,136,144.4,124.5,14.6,17.8,10.2
５人以上,18,18.9,16.9,143.8,157.7,126.5,131.4,141.8,118.4,12.4,15.9,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
