産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.74,1.56,1.52,1.4
"鉱業,採石業,砂利採取業",1.54,2.55,1.54,2.55
建設業,0.66,0.76,0.73,0.8
製造業,0.96,0.85,0.8,0.83
電気・ガス・熱供給・水道業,3.22,1.47,3.55,1.15
情報通信業,0.86,1.24,0.8,1.06
"運輸業,郵便業",1.03,1.2,1.07,1.06
"卸売業,小売業",1.38,1.3,0.96,0.93
"金融業,保険業",0.66,1.32,0.6,1.18
"不動産業,物品賃貸業",1.41,1.31,0.86,0.96
"学術研究,専門・技術サービス業",1.35,1.23,1.43,1.35
"宿泊業,飲食サービス業",4.41,3.4,3.88,2.91
"生活関連サービス業,娯楽業",2.35,1.33,3.26,1.55
"教育,学習支援業",3.45,2.55,3.73,2.92
"医療,福祉",1.87,1.61,1.46,1.79
複合サービス事業,0.2,0.5,0.33,0.83
サービス業（他に分類されないもの）,2.32,1.87,2.61,1.95
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年９月分,,,,
第４表  規模、産業別労働異動率,,,,
