規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.4,17.8,16.8,144.8,151.2,134.9,129.8,134.1,123.2,15,17.1,11.7
100～499人,17.4,17.9,16.8,143,152.6,129.4,129.5,136.3,119.9,13.5,16.3,9.5
100人以上,17.4,17.8,16.8,143.8,151.9,132.1,129.6,135.2,121.5,14.2,16.7,10.6
30～99人,16.5,17,15.9,132.2,143.3,117.3,121.3,129.1,110.9,10.9,14.2,6.4
５～29人,15.8,16.8,14.7,118.3,133.5,103.4,111.6,123.8,99.7,6.7,9.7,3.7
30人以上,17.1,17.6,16.5,140.2,149.2,127.2,127,133.3,118,13.2,15.9,9.2
５人以上,16.7,17.4,15.9,133.6,145.1,119.1,122.4,130.8,111.8,11.2,14.3,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
