産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.95,1.88,1.94,1.85
"鉱業,採石業,砂利採取業",2.37,2.6,2.37,2.6
建設業,1.56,1.61,2.15,1.87
製造業,0.91,1.29,1.04,1.01
電気・ガス・熱供給・水道業,2.11,2.88,0.85,2.03
情報通信業,1.49,2.11,1.53,2.06
"運輸業,郵便業",1.67,2.28,1.88,2.42
"卸売業,小売業",1.5,1.42,1.27,1.3
"金融業,保険業",1.53,1.48,1.56,1.52
"不動産業,物品賃貸業",1.89,1.25,1.42,1.51
"学術研究,専門・技術サービス業",1.41,1.31,1.62,1.55
"宿泊業,飲食サービス業",4.52,3.95,4.39,4.54
"生活関連サービス業,娯楽業",1.32,2.24,1.65,2.77
"教育,学習支援業",1.46,1.85,1.62,1.92
"医療,福祉",1.55,1.59,1.46,1.52
複合サービス事業,0.79,0.27,0.64,0.45
サービス業（他に分類されないもの）,3.42,2.03,3.87,2.15
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年７月分,,,,
第４表  規模、産業別労働異動率,,,,
