規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,709450,477706,435874,41832,231744,152411,146135,139153,6982,6276
100～499人,597606,423501,389277,34224,174105,154145,149465,143363,6102,4680
100人以上,654709,451176,413068,38108,203533,153529,148282,141868,6414,5247
30～99人,520485,376956,352889,24067,143529,121227,116101,111722,4379,5126
５～29人,466317,353412,334018,19394,112905,106010,101275,98578,2697,4735
30人以上,614032,428683,394830,33853,185349,140259,135062,129484,5578,5197
５人以上,579453,411063,380595,30468,168390,123271,118303,114154,4149,4968
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年７月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
