規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,157.8,140.5,17.3,12.9,83.9,80.8,3.1
100～499人,18.9,162.1,145.6,16.5,14.3,92.4,88.5,3.9
100人以上,18.8,159.9,143,16.9,13.8,89.5,85.9,3.6
30～99人,18.9,160.1,144.6,15.5,12.7,75.7,73.5,2.2
５～29人,19.4,159.2,148.4,10.8,12.1,70,68.1,1.9
30人以上,18.8,160,143.5,16.5,13.3,83.4,80.4,3
５人以上,18.9,159.8,144.6,15.2,12.7,76.9,74.4,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
