規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1174286,478022,438155,39867,696264,166846,150518,142082,8436,16328
100～499人,838825,416285,383346,32939,422540,161104,148054,141870,6184,13050
100人以上,1009909,447771,411299,36472,562138,163181,148945,141947,6998,14236
30～99人,661131,376906,353958,22948,284225,132275,117146,113589,3557,15129
５～29人,520462,346798,328966,17832,173664,102147,98169,95544,2625,3978
30人以上,907665,426997,394490,32507,480668,149325,134689,129233,5456,14636
５人以上,816094,408030,378993,29037,408064,126757,117219,113117,4102,9538
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年６月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
