規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1267552,476510,433876,42634,791042,165087,144279,136963,7316,20808
100～499人,1024375,417374,384054,33320,607001,158308,140163,134802,5361,18145
100人以上,1147374,447285,409254,38031,700089,160844,141703,135611,6092,19141
30～99人,822618,374276,349296,24980,448342,131096,113965,110087,3878,17131
５～29人,675533,358421,339478,18943,317112,108635,101346,98215,3131,7289
30人以上,1051046,425629,391469,34160,625417,147221,129000,123922,5078,18221
５人以上,965172,410260,379580,30680,554912,127663,114983,110892,4091,12680
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
