規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,530179,476253,435141,41112,53926,146131,143655,136345,7310,2476
100～499人,436301,414544,380966,33578,21757,152046,150926,144655,6271,1120
100人以上,484172,446011,408591,37420,38161,149910,148301,141655,6646,1609
30～99人,393407,376781,353079,23702,16626,113866,113603,109853,3750,263
５～29人,382710,347272,329299,17973,35438,93818,93377,90964,2413,441
30人以上,457375,425572,392202,33370,31803,134046,133029,127658,5371,1017
５人以上,439718,407056,377327,29729,32662,114714,113974,110024,3950,740
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年５月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
