産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.65,1.93,1.59,1.92
"鉱業,採石業,砂利採取業",1.13,2.33,1.13,2.33
建設業,0.86,0.9,0.7,0.88
製造業,0.87,1.06,0.95,1.14
電気・ガス・熱供給・水道業,0.36,0.77,0.43,0.93
情報通信業,1.59,1.56,1.68,1.69
"運輸業,郵便業",0.86,1.69,0.74,1.85
"卸売業,小売業",1.61,1.65,1.71,1.46
"金融業,保険業",1.72,3.01,1.14,2.75
"不動産業,物品賃貸業",1.01,1.06,1.17,1.2
"学術研究,専門・技術サービス業",1.85,1.73,1.55,1.81
"宿泊業,飲食サービス業",2.94,3.15,3.12,3.6
"生活関連サービス業,娯楽業",2.2,2.23,1.82,1.55
"教育,学習支援業",1.66,3.06,1.85,3.68
"医療,福祉",2.08,1.92,2.16,1.92
複合サービス事業,0.5,3.07,0.51,3.99
サービス業（他に分類されないもの）,1.75,2.29,1.86,2.29
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（暫定版）,,,,
第４表  規模、産業別労働異動率,,,,
