規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,502470,588458,368935,446061,519577,331893,407713,38348,56409,68881,37042
100～499人,407820,482843,299612,363827,427291,272291,335480,28347,43993,55552,27321
100人以上,453710,534830,332455,403697,472717,300529,370501,33196,50013,62113,31926
30～99人,370198,455695,259592,316717,379095,236019,298315,18402,53481,76600,23573
５～29人,271112,351787,192266,247577,314348,182320,235731,11846,23535,37439,9946
30人以上,426950,510503,307756,375826,443937,278661,347371,28455,51124,66566,29095
５人以上,380509,468757,268198,337607,409852,245662,314101,23506,42902,58905,22536
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
