規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,456399,531474,342341,438996,510564,330266,402467,36529,17403,20910,12075
100～499人,377443,443782,283199,366466,430615,275333,340690,25776,10977,13167,7866
100人以上,415829,487011,311363,401728,470027,301493,370724,31004,14101,16984,9870
30～99人,321349,383867,242785,312665,373661,236012,294110,18555,8684,10206,6773
５～29人,260004,330775,189617,248884,314812,183313,237242,11642,11120,15963,6304
30人以上,385437,455295,287944,373078,440395,279132,346079,26999,12359,14900,8812
５人以上,348179,422220,254842,336188,407038,246874,313750,22438,11991,15182,7968
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
