事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,683105,8.5,76.2,84.7,1.33,-0.03,649700,2.4,75.2,84.1,1.51,0.1
30人以上,"C 鉱業,採石業,砂利採取業",1724998,17.2,100,100,3.42,0.89,1266103,-12.5,100,100,1.7,-0.76
30人以上,D 建設業,932271,4.6,87.2,92.1,1.79,-0.29,957008,10.5,81.7,89.2,1.99,0.1
30人以上,E 製造業,896858,15.3,74.9,81.9,1.54,0.25,826223,11.5,83.1,90.4,1.49,0.17
30人以上,F 電気・ガス・熱供給・水道業,1000958,-4.4,68.6,78.2,2.02,-0.36,977093,5,85.5,84.7,2.14,0.02
30人以上,G 情報通信業,804078,6.1,82.8,88,1.75,0.25,751899,-1.6,83.3,86.2,1.82,0.14
30人以上,"H 運輸業,郵便業",534220,17.6,76.6,79.6,1.2,-0.1,499649,17.3,74.9,80.8,1.2,0.06
30人以上,"I 卸売業,小売業",834930,6.9,74.1,85.3,1.47,0.06,859643,23.1,75,83.5,1.72,0.28
30人以上,"J 金融業,保険業",1024721,-6.6,87.6,96.4,2.39,0,949112,-2.9,90.9,93.9,2.12,0.09
30人以上,"K 不動産業,物品賃貸業",834140,12.9,79.5,90.4,1.83,0.22,866412,13.7,74.3,88.9,1.99,0.29
30人以上,"L 学術研究,専門・技術サービス業",867575,25.3,82.1,89,1.51,-0.05,671899,10,84.6,86.5,1.46,-0.02
30人以上,"M 宿泊業,飲食サービス業",137290,67.8,61.7,65.4,0.41,-0.09,179588,92.3,57.6,64,0.52,0.09
30人以上,"N 生活関連サービス業,娯楽業",267369,3,87.2,90.5,0.79,0.3,389142,65.5,55.1,66.1,1.08,0.52
30人以上,"O 教育,学習支援業",663935,18.6,92.7,97.1,1.58,0.02,701274,4.4,84.8,90.9,1.93,0.07
30人以上,"P 医療,福祉",333343,-20.5,69.6,81.2,0.88,-0.52,450279,-12,75.5,87.2,1.32,-0.33
30人以上,Q 複合サービス事業,687241,25.7,100,100,1.61,0.13,563632,-3.9,100,100,1.82,0.15
30人以上,R サービス業（他に分類されないもの）,338855,24.1,72.9,75.7,1.11,-0.02,243571,-31.9,68.8,79.1,1.09,-0.01
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
