産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.54,1.83,1.33,1.65
"鉱業,採石業,砂利採取業",1.15,2.07,1.15,2.07
建設業,0.75,0.91,0.73,1.14
製造業,0.65,0.97,0.74,0.95
電気・ガス・熱供給・水道業,0.67,1.29,0.85,0.28
情報通信業,0.8,1.08,0.8,1.02
"運輸業,郵便業",0.76,1.08,0.83,1.13
"卸売業,小売業",1.32,1.46,1.06,1.15
"金融業,保険業",0.85,1.1,0.79,1.1
"不動産業,物品賃貸業",1.19,1.14,0.8,1.06
"学術研究,専門・技術サービス業",1.24,0.99,1.41,1.3
"宿泊業,飲食サービス業",4.29,4.6,2.69,3.45
"生活関連サービス業,娯楽業",0.9,2.75,1.25,3.24
"教育,学習支援業",1.26,3.73,1.2,3.55
"医療,福祉",2.42,1.74,2.63,1.83
複合サービス事業,0.79,0.77,0.68,0.49
サービス業（他に分類されないもの）,1.93,2.37,2.06,2.59
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,
第４表  規模、産業別労働異動率,,,,
