規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.1,17.5,16.4,141.8,148.5,131.7,127.4,131.8,120.7,14.4,16.7,11
100～499人,17.2,17.7,16.5,141.3,150.1,127.9,127.6,133.7,118.3,13.7,16.4,9.6
100人以上,17.1,17.6,16.5,141.5,149.4,129.8,127.5,132.8,119.5,14,16.6,10.3
30～99人,16,16.7,15,127,139,110.2,117,126.1,104.2,10,12.9,6
５～29人,15.5,16.7,14.4,117.1,133.2,100.5,110.2,123.2,96.9,6.9,10,3.6
30人以上,16.8,17.3,16,136.9,146.1,123.4,124.1,130.7,114.5,12.8,15.4,8.9
５人以上,16.4,17.1,15.4,131,142.7,115.7,120,128.7,108.6,11,14,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（暫定版）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
