規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,544661,481913,439912,42001,62748,144065,141503,134182,7321,2562
100～499人,460609,408569,375702,32867,52040,135971,133416,128349,5067,2555
100人以上,502751,445342,407895,37447,57409,139036,136478,130557,5921,2558
30～99人,454588,385050,361389,23661,69538,116205,111049,108477,2572,5156
５～29人,387792,349539,331187,18352,38253,96575,95056,92942,2114,1519
30人以上,488769,427839,394395,33444,60930,128401,124633,120272,4361,3768
５人以上,465044,409442,379543,29899,55602,112555,109907,106665,3242,2648
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年３月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
