規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.3,147.3,130.5,16.8,11.9,78.7,75.1,3.6
100～499人,17.7,151.1,135.2,15.9,13.6,86.3,82.5,3.8
100人以上,17.5,149.1,132.8,16.3,12.9,83.5,79.8,3.7
30～99人,17.6,148.6,135.1,13.5,11.9,66.4,64.9,1.5
５～29人,18.8,153.8,143.6,10.2,11.3,64.6,63.2,1.4
30人以上,17.5,149,133.5,15.5,12.5,76.4,73.6,2.8
５人以上,17.8,150.1,135.9,14.2,11.9,70.6,68.5,2.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
