規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.5,19.1,17.8,153.5,161.1,142,137.9,143.2,130,15.6,17.9,12
100～499人,18.6,19.2,17.7,152.7,163.2,138.2,138.9,146.6,128.2,13.8,16.6,10
100人以上,18.6,19.2,17.7,153.1,162.2,140,138.4,144.9,129.1,14.7,17.3,10.9
30～99人,17.9,18.7,16.8,143.4,156.8,126,132,141.7,119.4,11.4,15.1,6.6
５～29人,16.9,18.2,15.6,126.8,145.3,108.6,119.5,134.5,104.7,7.3,10.8,3.9
30人以上,18.4,19,17.4,150,160.5,135.3,136.4,143.9,125.8,13.6,16.6,9.5
５人以上,17.9,18.8,16.8,143.2,156.4,126.3,131.4,141.4,118.7,11.8,15,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
