産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.87,1.91,1.62,1.88
"鉱業,採石業,砂利採取業",1.97,2.87,1.97,2.87
建設業,1.25,1.47,0.87,1.71
製造業,1.64,1.26,1.3,1.14
電気・ガス・熱供給・水道業,0.23,0.73,0.29,0.61
情報通信業,1.05,1.25,0.97,1.17
"運輸業,郵便業",1.51,1.85,1.5,1.92
"卸売業,小売業",1.61,1.42,1.14,1.24
"金融業,保険業",0.98,1.18,0.8,0.99
"不動産業,物品賃貸業",0.93,1.65,0.99,1.71
"学術研究,専門・技術サービス業",1.26,1.22,1.39,1.27
"宿泊業,飲食サービス業",4.39,3.41,4.31,3.08
"生活関連サービス業,娯楽業",2.93,1.86,3.22,0.94
"教育,学習支援業",2.15,1.15,2.19,1.12
"医療,福祉",2.2,2.54,2.27,3.08
複合サービス事業,0.55,0.58,0.91,0.59
サービス業（他に分類されないもの）,2.2,3.47,2.37,3.84
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年６月分,,,,
第４表  規模、産業別労働異動率,,,,
