事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成29,2017,年平均,19.5,163.4,149.2,14.2,13.5,81.5,78.9,2.6
５人以上,TL 調査産業計,平成30,2018,年平均,19.5,162.5,148.8,13.7,13.4,81.2,78.3,2.9
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,19.1,159.5,145.2,14.3,12.7,77.5,74.5,3
５人以上,TL 調査産業計,令和２,2020,年平均,18.7,155.1,142.2,12.9,12,72.5,69.9,2.6
５人以上,TL 調査産業計,令和３,2021,年平均,18.8,157.7,143.7,14,12.3,73.4,71.2,2.2
５人以上,TL 調査産業計,令和４,2022,年平均,18.8,158.6,143.9,14.7,12.7,75.9,73.4,2.5
５人以上,TL 調査産業計,令和４,2022,1月,17.8,150.3,136.3,14,12.1,72.4,70,2.4
５人以上,TL 調査産業計,令和４,2022,2月,17.8,150.1,135.9,14.2,11.9,70.6,68.5,2.1
５人以上,TL 調査産業計,令和４,2022,3月,19,160.6,144.9,15.7,12.3,72,69.8,2.2
５人以上,TL 調査産業計,令和４,2022,4月,19.7,165.9,150.2,15.7,12.8,76.4,73.9,2.5
５人以上,TL 調査産業計,令和４,2022,5月,18,152.1,138.1,14,12.6,76,73.4,2.6
５人以上,TL 調査産業計,令和４,2022,6月,19.9,166.4,151.7,14.7,13.2,80,77.2,2.8
５人以上,TL 調査産業計,令和４,2022,7月,19.4,163.3,148.7,14.6,13.2,79.1,76.5,2.6
５人以上,TL 調査産業計,令和４,2022,8月,18.4,154.7,141.1,13.6,12.7,76.8,74.2,2.6
５人以上,TL 調査産業計,令和４,2022,9月,18.8,158.6,144.2,14.4,13,77.9,75.3,2.6
５人以上,TL 調査産業計,令和４,2022,10月,18.9,159.8,144.6,15.2,12.7,76.9,74.4,2.5
５人以上,TL 調査産業計,令和４,2022,11月,19.1,161,145.9,15.1,12.9,77,74.6,2.4
５人以上,TL 調査産業計,令和４,2022,12月,19,160.3,145.3,15,12.6,75.7,73.2,2.5
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,154.8,136,18.8,17.8,129.2,129,0.2
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,157.1,137.1,20,15.7,116.8,116.5,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和３,2021,年平均,18.7,159.2,136,23.2,13.8,93.4,92,1.4
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,年平均,18.2,154.1,131.7,22.4,12.1,77.5,76.5,1
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,1月,17.1,143.7,122.6,21.1,14.5,98.8,96.9,1.9
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,2月,16.9,146.1,123.1,23,16.2,102.1,101.6,0.5
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,3月,19.5,164.9,140.5,24.4,15.3,99.6,98.1,1.5
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,4月,18.2,152.2,129.9,22.3,10.4,69.4,68.9,0.5
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,5月,16.6,138.2,118.7,19.5,10.5,69.5,68,1.5
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,6月,20,166.8,144.9,21.9,12,66.8,66.8,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,7月,18.5,156.3,133.7,22.6,12.5,79.8,79.8,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,8月,19.2,161.8,139.9,21.9,9,52.8,51.8,1
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,9月,18.1,153.9,131,22.9,8.3,52.5,49.5,3
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,10月,17.8,151.4,128.4,23,5.5,27.3,27.3,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,11月,18.6,158.9,134.7,24.2,8.9,40.9,40.9,－
５人以上,"C 鉱業,採石業,砂利採取業",令和４,2022,12月,18.4,156.2,134.1,22.1,13,81.3,81.3,－
５人以上,D 建設業,平成29,2017,年平均,20.7,180.1,158.8,21.3,14,85.3,83.7,1.6
５人以上,D 建設業,平成30,2018,年平均,20.8,180.3,158.4,21.9,12.3,77.9,76.9,1
５人以上,D 建設業,平成31・令和元,2019,年平均,20.1,172.3,151,21.3,14,95.1,92.2,2.9
５人以上,D 建設業,令和２,2020,年平均,19.7,167.7,149.2,18.5,15,101.9,97.3,4.6
５人以上,D 建設業,令和３,2021,年平均,19.6,168.4,149,19.4,15.2,96.7,93.7,3
５人以上,D 建設業,令和４,2022,年平均,19.5,167.2,147.8,19.4,13.9,82.6,81.5,1.1
５人以上,D 建設業,令和４,2022,1月,17.9,153.9,136.8,17.1,13.1,76.1,75,1.1
５人以上,D 建設業,令和４,2022,2月,19,164.7,144.7,20,14.2,82.6,81.5,1.1
５人以上,D 建設業,令和４,2022,3月,19.8,172,150.5,21.5,14.2,83.9,82.5,1.4
５人以上,D 建設業,令和４,2022,4月,20.6,176.5,156.2,20.3,14.7,86.2,84.9,1.3
５人以上,D 建設業,令和４,2022,5月,18,153.4,136.5,16.9,13.5,77.7,76.7,1
５人以上,D 建設業,令和４,2022,6月,20.5,176.3,156.5,19.8,14.6,83.4,82.5,0.9
５人以上,D 建設業,令和４,2022,7月,20.5,176.7,156.8,19.9,14.7,85.4,84.3,1.1
５人以上,D 建設業,令和４,2022,8月,18.2,155.9,137.8,18.1,13.7,79.5,78.5,1
５人以上,D 建設業,令和４,2022,9月,19.5,167,147.9,19.1,13.8,83.8,82.8,1
５人以上,D 建設業,令和４,2022,10月,19.7,168.8,148.5,20.3,13.2,82.8,81.7,1.1
５人以上,D 建設業,令和４,2022,11月,20.1,172.1,151.8,20.3,14,86.7,85.6,1.1
５人以上,D 建設業,令和４,2022,12月,19.8,169.2,149.9,19.3,13.7,84.8,83.7,1.1
５人以上,E 製造業,平成29,2017,年平均,19.3,161.6,149.4,12.2,15.7,103.5,100.3,3.2
５人以上,E 製造業,平成30,2018,年平均,19.3,163.5,149.6,13.9,15.9,109,105,4
５人以上,E 製造業,平成31・令和元,2019,年平均,18.8,158.2,145.1,13.1,16.1,107.7,104,3.7
５人以上,E 製造業,令和２,2020,年平均,18.7,154.6,144.1,10.5,15.9,111,102.9,8.1
５人以上,E 製造業,令和３,2021,年平均,18.8,157.4,145.6,11.8,15.3,104.7,97.8,6.9
５人以上,E 製造業,令和４,2022,年平均,18.9,158.5,145.7,12.8,14.6,100.1,92.9,7.2
５人以上,E 製造業,令和４,2022,1月,17.6,147.8,135.5,12.3,13.8,97.1,88.5,8.6
５人以上,E 製造業,令和４,2022,2月,18.4,155.5,142.4,13.1,14,97.3,89.4,7.9
５人以上,E 製造業,令和４,2022,3月,19.1,160.6,146.9,13.7,14.1,94.8,87.9,6.9
５人以上,E 製造業,令和４,2022,4月,19.8,165.2,151.9,13.3,14.4,99.7,92,7.7
５人以上,E 製造業,令和４,2022,5月,17.5,147.2,135.6,11.6,14.2,95.5,88.3,7.2
５人以上,E 製造業,令和４,2022,6月,20,166.3,153.7,12.6,15.5,109.2,100.3,8.9
５人以上,E 製造業,令和４,2022,7月,19.9,165.5,152.6,12.9,15.3,103.6,96,7.6
５人以上,E 製造業,令和４,2022,8月,18.2,152.7,140.9,11.8,14.4,101.6,94.3,7.3
５人以上,E 製造業,令和４,2022,9月,19,158.8,146.1,12.7,15,102.5,95.2,7.3
５人以上,E 製造業,令和４,2022,10月,19,158.7,145.8,12.9,14.5,97.6,91.6,6
５人以上,E 製造業,令和４,2022,11月,19.4,162.8,149.5,13.3,15.5,102.2,96.6,5.6
５人以上,E 製造業,令和４,2022,12月,19.2,160.9,148,12.9,14.9,99.7,94.2,5.5
５人以上,F 電気・ガス・熱供給・水道業,平成29,2017,年平均,18.8,162.9,148.4,14.5,15.6,122.4,119.9,2.5
５人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,18.5,158.9,143.4,15.5,15.8,107.1,106,1.1
