規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1149856,1382179,799330,441042,513780,331296,402178,38864,708814,868399,468034
100～499人,877213,1075665,593713,370270,434318,278775,341701,28569,506943,641347,314938
100人以上,1010118,1226777,692276,404769,473493,303951,371181,33588,605349,753284,388325
30～99人,653482,798505,462229,310608,369538,232892,290789,19819,342874,428967,229337
５～29人,436884,585143,292023,250199,318365,183595,237912,12287,186685,266778,108428
30人以上,894360,1091917,614448,374206,440758,279911,345088,29118,520154,651159,334537
５人以上,758309,958642,504504,337327,408570,247068,313214,24113,420982,550072,257436
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
