規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,456498,534925,335525,429932,502389,318168,394036,35896,26566,32536,17357
100～499人,366708,433753,273886,358570,422869,269549,332029,26541,8138,10884,4337
100人以上,410290,483969,302817,393207,462338,292369,362125,31082,17083,21631,10448
30～99人,316345,376387,236420,309786,369035,230917,293485,16301,6559,7352,5503
５～29人,249571,316385,183876,244606,309425,180872,233309,11297,4965,6960,3004
30人以上,380211,450413,280782,366498,433236,271975,340149,26349,13713,17177,8807
５人以上,341333,415054,247789,330223,400572,240958,308353,21870,11110,14482,6831
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
