規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.5,17.3,150,157.6,138.5,134.2,139.4,126.4,15.8,18.2,12.1
100～499人,18,18.6,17.2,148.7,158.5,134.8,134.6,141.6,124.7,14.1,16.9,10.1
100人以上,18,18.6,17.2,149.3,158.1,136.5,134.4,140.5,125.5,14.9,17.6,11
30～99人,17.3,18.1,16.4,139.2,151.6,123.4,127,135.6,116.1,12.2,16,7.3
５～29人,16.4,17.7,15.1,122.3,140,105.1,115.2,129.5,101.3,7.1,10.5,3.8
30人以上,17.8,18.4,16.9,146,156.1,132.1,132,139,122.3,14,17.1,9.8
５人以上,17.4,18.2,16.3,139,151.9,122.9,127,136.5,115.2,12,15.4,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
