規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,156,139.9,16.1,12.6,83.8,80.5,3.3
100～499人,18.7,159.2,144.4,14.8,14.6,92.8,89,3.8
100人以上,18.6,157.6,142.1,15.5,13.9,89.6,86,3.6
30～99人,17.8,150.4,137.5,12.9,12.9,75.6,73.3,2.3
５～29人,18.6,152.4,142.4,10,11.9,69.8,67.7,2.1
30人以上,18.3,155.5,140.8,14.7,13.5,83.6,80.6,3
５人以上,18.4,154.7,141.1,13.6,12.7,76.8,74.2,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
