規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,494432,475156,435027,40129,19276,148482,146244,138854,7390,2238
100～499人,430317,417075,386551,30524,13242,149414,148205,142908,5297,1209
100人以上,462963,446649,411234,35415,16314,149082,147507,141465,6042,1575
30～99人,384218,373198,350172,23026,11020,115837,114786,110847,3939,1051
５～29人,369738,351547,333755,17792,18191,99935,99129,96458,2671,806
30人以上,439388,424659,392953,31706,14729,134946,133594,128446,5148,1352
５人以上,423123,407585,379129,28456,15538,117709,116626,112698,3928,1083
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
