規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,161.1,142.8,18.3,12.5,82.1,78.2,3.9
100～499人,18.9,161.3,144.6,16.7,13.4,81.3,77.8,3.5
100人以上,18.9,161.2,143.7,17.5,13,81.6,77.9,3.7
30～99人,18.8,160.1,144.1,16,12.7,69.7,68,1.7
５～29人,19.4,159.5,148.3,11.2,11.7,67.7,66.2,1.5
30人以上,18.9,160.9,143.8,17.1,12.9,76.1,73.3,2.8
５人以上,19,160.6,144.9,15.7,12.3,72,69.8,2.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
