規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,508014,475115,435535,39580,32899,147411,145705,138623,7082,1706
100～499人,438362,417209,385556,31653,21153,150334,149585,143888,5697,749
100人以上,473893,446748,411051,35697,27145,149316,148233,142054,6179,1083
30～99人,399345,375791,352833,22958,23554,119090,118080,114146,3934,1010
５～29人,384701,354408,336267,18141,30293,100895,100616,97736,2880,279
30人以上,451498,425432,393562,31870,26066,136379,135328,130110,5218,1051
５人以上,435933,408882,380211,28671,27051,118787,118118,114059,4059,669
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年９月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
