産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.49,1.45,1.35,1.3
"鉱業,採石業,砂利採取業",1.57,2.35,1.57,2.35
建設業,0.56,0.68,0.41,0.9
製造業,0.63,0.9,0.64,0.87
電気・ガス・熱供給・水道業,0.71,1.96,0.43,1.98
情報通信業,0.77,0.79,0.72,0.79
"運輸業,郵便業",0.93,1.56,1.07,1.73
"卸売業,小売業",1.12,1.23,1.01,1.03
"金融業,保険業",0.67,1.07,0.59,1.11
"不動産業,物品賃貸業",1.04,0.91,0.77,0.83
"学術研究,専門・技術サービス業",1.7,1.04,1.2,1.06
"宿泊業,飲食サービス業",4.23,3.1,4.44,2.46
"生活関連サービス業,娯楽業",1.7,2.45,1.26,1.21
"教育,学習支援業",1.21,1.26,1.31,0.85
"医療,福祉",1.46,1.43,1.71,1.53
複合サービス事業,0.7,0.5,1.15,0.82
サービス業（他に分類されないもの）,2.38,2.2,2.6,2.27
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１２月分,,,,
第４表  規模、産業別労働異動率,,,,
