規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.2,17.3,148.1,154.3,138.7,133.4,137.5,127.2,14.7,16.8,11.5
100～499人,17.9,18.3,17.4,146.8,154.8,135.3,134,139.7,125.9,12.8,15.1,9.4
100人以上,17.9,18.2,17.4,147.4,154.6,136.9,133.7,138.6,126.5,13.7,16,10.4
30～99人,16.6,17.3,15.8,132.9,145.7,116.6,122.5,131.7,110.8,10.4,14,5.8
５～29人,15.9,17.1,14.7,118.8,135.3,102.5,112,125.4,98.8,6.8,9.9,3.7
30人以上,17.5,18,16.8,142.7,151.9,130,130.1,136.5,121.2,12.6,15.4,8.8
５人以上,17,17.7,16.1,135.6,147.4,120.7,124.7,133.5,113.6,10.9,13.9,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
