規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,164.4,146.3,18.1,13.1,86.4,82.7,3.7
100～499人,19.6,166.2,149.2,17,14,90,85.9,4.1
100人以上,19.5,165.2,147.7,17.5,13.7,88.7,84.7,4
30～99人,19.6,166.5,150.4,16.1,13.2,74.6,72.7,1.9
５～29人,20.3,166.6,155.5,11.1,12.1,69.8,68,1.8
30人以上,19.5,165.6,148.5,17.1,13.5,82.5,79.4,3.1
５人以上,19.7,165.9,150.2,15.7,12.8,76.4,73.9,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
