規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.2,18.8,17.4,152.8,160.5,140.9,136,141.2,127.9,16.8,19.3,13
100～499人,18,18.6,17.1,148.3,159.5,132.3,133.7,141.9,122,14.6,17.6,10.3
100人以上,18.1,18.7,17.2,150.5,160,136.4,134.8,141.6,124.8,15.7,18.4,11.6
30～99人,17.3,17.8,16.6,137.6,150.4,121,125.1,133.9,113.7,12.5,16.5,7.3
５～29人,16.3,17.6,15.1,122.7,140.3,105.5,115.4,129.6,101.5,7.3,10.7,4
30人以上,17.8,18.4,17,146.3,157,131.1,131.7,139.2,121,14.6,17.8,10.1
５人以上,17.4,18.2,16.4,139.4,152.6,122.3,126.9,136.7,114.3,12.5,15.9,8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
