規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.5,17.2,149.3,156.7,137.9,133.7,138.8,125.9,15.6,17.9,12
100～499人,18.1,18.6,17.2,148.7,158.5,134.8,134.7,141.7,124.7,14,16.8,10.1
100人以上,18,18.5,17.2,149,157.6,136.2,134.2,140.3,125.2,14.8,17.3,11
30～99人,17.3,18.2,16.2,139.5,152.9,121.9,127.5,137,115,12,15.9,6.9
５～29人,16.6,17.9,15.2,124.2,142.4,106.3,116.9,131.8,102.3,7.3,10.6,4
30人以上,17.8,18.4,16.9,145.9,156.1,131.4,132,139.2,121.8,13.9,16.9,9.6
５人以上,17.4,18.3,16.3,139.4,152.5,122.8,127.5,137.3,115.1,11.9,15.2,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
