規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.6,17.3,150.4,158.1,138.8,134.6,139.9,126.6,15.8,18.2,12.2
100～499人,18.2,18.8,17.3,149.6,159.8,135.5,135.4,142.8,125.2,14.2,17,10.3
100人以上,18.1,18.7,17.3,150,159,137.1,135,141.4,125.9,15,17.6,11.2
30～99人,17.6,18.3,16.7,140.4,153.6,123.5,128.6,138,116.6,11.8,15.6,6.9
５～29人,16.6,17.9,15.3,123.5,141,106.4,116.4,130.7,102.4,7.1,10.3,4
30人以上,18,18.6,17.1,146.8,157.3,132.4,132.9,140.3,122.7,13.9,17,9.7
５人以上,17.5,18.4,16.5,139.9,153,123.7,128,137.8,115.9,11.9,15.2,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年11月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
