規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.8,150.7,134.4,16.3,11.7,77.3,73.7,3.6
100～499人,17.9,153.2,137.2,16,13.9,87.3,83.2,4.1
100人以上,17.8,152,135.8,16.2,13,83.5,79.6,3.9
30～99人,17.6,148,135,13,12.2,70.6,68.6,2
５～29人,18.1,148.9,138.8,10.1,11.4,66.3,64.6,1.7
30人以上,17.8,150.7,135.5,15.2,12.7,78.1,75,3.1
５人以上,17.8,150.3,136.3,14,12.1,72.4,70,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（確報）,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
