産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.7,1.56,1.47,1.37
"鉱業,採石業,砂利採取業",0.78,1.09,0.78,1.09
建設業,0.57,0.72,0.77,0.81
製造業,0.64,1.12,0.64,1.16
電気・ガス・熱供給・水道業,0.41,0.48,0.51,0.31
情報通信業,0.96,0.93,0.94,0.83
"運輸業,郵便業",1.77,1,1.85,1.03
"卸売業,小売業",1.39,1.27,1.02,1
"金融業,保険業",1,1.02,0.84,1.01
"不動産業,物品賃貸業",0.9,1.01,0.75,0.81
"学術研究,専門・技術サービス業",1.2,1.06,1.14,1.13
"宿泊業,飲食サービス業",5.46,3.73,6.54,2.76
"生活関連サービス業,娯楽業",1.95,2.86,1.32,2.67
"教育,学習支援業",1.49,1.13,1.46,1.05
"医療,福祉",1.67,1.68,1.63,1.82
複合サービス事業,0.61,0.56,0.6,0.51
サービス業（他に分類されないもの）,2.03,2.33,2.15,2.5
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年11月分,,,,
第４表  規模、産業別労働異動率,,,,
