規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,158.2,140.9,17.3,13.2,85.8,82.6,3.2
100～499人,19.1,163.2,146.6,16.6,14.3,90.7,87,3.7
100人以上,18.9,160.7,143.7,17,13.9,89,85.5,3.5
30～99人,19,161,146.1,14.9,13.3,76.9,74.8,2.1
５～29人,19.7,161.8,151,10.8,12.2,70.4,68.4,2
30人以上,18.9,160.8,144.4,16.4,13.6,83.7,80.8,2.9
５人以上,19.1,161,145.9,15.1,12.9,77,74.6,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年11月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
