産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,634649,0.1,78.9,81.2,1.41,0.06
鉱業，採石業，砂利採取業,1447520,12,69.2,63.5,2.46,-0.22
建設業,865782,5.1,82.2,82,1.89,0.08
製造業,740978,-1.6,82.3,90.9,1.32,-0.03
電気・ガス・熱供給・水道業,930897,3.5,88.4,95,2.12,-0.08
情報通信業,764435,5.5,74.8,81.4,1.68,0.29
運輸業，郵便業,426119,-7.9,69.6,73,1.14,-0.12
卸売業，小売業,698224,2.7,77.9,85.7,1.44,0.06
"金融業,保険業",977473,-17.4,85.5,86.4,2.03,-0.24
不動産業，物品賃貸業,762306,10.3,80.5,91.2,1.7,0.09
学術研究，専門・技術サービス業,610622,-10.2,82.3,87.7,1.48,-0.02
宿泊業，飲食サービス業,93368,35.7,73.4,74.3,0.43,0.09
生活関連サービス業，娯楽業,235160,-7.6,79.2,69.3,0.56,-0.1
教育，学習支援業,671945,3.9,98.7,90.4,1.86,-0.02
医療，福祉,511693,4.1,75.3,65,1.65,0.13
複合サービス事業,586395,5.2,100,100,1.67,-0.09
サービス業（他に分類されないもの）,357817,1,75.9,78.6,1.1,-0.04
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年冬季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
