規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17,17.4,16.4,141.9,148.6,131.6,127.1,131.5,120.3,14.8,17.1,11.3
100～499人,17.2,17.8,16.3,140.8,151.9,125.2,127,135.1,115.7,13.8,16.8,9.5
100人以上,17.1,17.6,16.3,141.4,150.3,128.2,127.1,133.3,117.9,14.3,17,10.3
30～99人,16.3,16.9,15.5,129.9,141.7,114.5,119.5,128.1,108.3,10.4,13.6,6.2
５～29人,15.5,16.6,14.3,116.4,132.3,100.3,109.6,122.4,96.7,6.8,9.9,3.6
30人以上,16.8,17.4,16.1,137.6,147.6,123.7,124.6,131.7,114.7,13,15.9,9
５人以上,16.4,17.2,15.5,131.4,143.5,115.7,120.2,129.2,108.6,11.2,14.3,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１月分（確報）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
