規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,505804,480479,438834,41645,25325,148466,146494,139343,7151,1972
100～499人,430369,420008,387373,32635,10361,148067,146777,141171,5606,1290
100人以上,468949,450935,413692,37243,18014,148203,146681,140549,6132,1522
30～99人,395743,383793,357518,26275,11950,115842,115093,110683,4410,749
５～29人,376510,356862,337867,18995,19648,101176,100847,97876,2971,329
30人以上,447160,430951,396973,33978,16209,133967,132785,127411,5374,1182
５人以上,430695,413684,383198,30486,17011,117855,117092,112899,4193,763
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年１０月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
