事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成31・令和元,2019,年平均,16.7,17.9,15.3,126.4,143.4,108.1,118.8,133,103.5,7.6,10.4,4.6
５～29人,令和２,2020,年平均,16.2,17.4,14.8,122.3,139.2,104.5,115.7,129.8,100.8,6.6,9.4,3.7
５～29人,令和３,2021,年平均,16.3,17.5,15.1,123.3,139.8,106.5,116.5,129.9,102.8,6.8,9.9,3.7
５～29人,令和４,2022,年平均,16.4,17.6,15.2,122.8,139.9,105.9,115.7,129.6,102,7.1,10.3,3.9
５～29人,令和４,2022,1月,15.5,16.6,14.3,116.4,132.3,100.3,109.6,122.4,96.7,6.8,9.9,3.6
５～29人,令和４,2022,2月,15.8,17,14.5,118.2,135.2,101.5,111.5,125.4,97.9,6.7,9.8,3.6
５～29人,令和４,2022,3月,16.3,17.6,15.1,122.7,140.3,105.5,115.4,129.6,101.5,7.3,10.7,4
５～29人,令和４,2022,4月,17,18.2,15.7,127.8,145.2,110.7,120.4,134.5,106.6,7.4,10.7,4.1
５～29人,令和４,2022,5月,15.8,16.8,14.7,118.3,133.5,103.4,111.6,123.8,99.7,6.7,9.7,3.7
５～29人,令和４,2022,6月,17.4,18.6,16.2,130.1,147.9,112.7,122.9,137.3,108.9,7.2,10.6,3.8
５～29人,令和４,2022,7月,16.9,18.2,15.6,126.8,145.3,108.6,119.5,134.5,104.7,7.3,10.8,3.9
５～29人,令和４,2022,8月,15.9,17.1,14.7,118.8,135.3,102.5,112,125.4,98.8,6.8,9.9,3.7
５～29人,令和４,2022,9月,16.6,17.8,15.4,124.3,141.3,107.4,117.1,130.8,103.5,7.2,10.5,3.9
５～29人,令和４,2022,10月,16.4,17.7,15.1,122.3,140,105.1,115.2,129.5,101.3,7.1,10.5,3.8
５～29人,令和４,2022,11月,16.6,17.9,15.3,123.5,141,106.4,116.4,130.7,102.4,7.1,10.3,4
５～29人,令和４,2022,12月,16.6,17.9,15.2,124.2,142.4,106.3,116.9,131.8,102.3,7.3,10.6,4
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成31・令和元,2019,年平均,17.3,18.2,16.1,136.9,152.5,116,125,136.7,109.3,11.9,15.8,6.7
30～99人,令和２,2020,年平均,16.9,17.7,15.7,132.4,146.3,113.4,122.3,132.8,107.9,10.1,13.5,5.5
30～99人,令和３,2021,年平均,17.1,17.8,16.1,135.3,147.2,118.3,124.6,133.4,112,10.7,13.8,6.3
30～99人,令和４,2022,年平均,17.2,17.9,16.3,137.7,150.5,121.2,126.2,135.3,114.4,11.5,15.2,6.8
30～99人,令和４,2022,1月,16.3,16.9,15.5,129.9,141.7,114.5,119.5,128.1,108.3,10.4,13.6,6.2
30～99人,令和４,2022,2月,16.3,17,15.3,129.7,142.6,112.7,119,128.5,106.4,10.7,14.1,6.3
30～99人,令和４,2022,3月,17.3,17.8,16.6,137.6,150.4,121,125.1,133.9,113.7,12.5,16.5,7.3
30～99人,令和４,2022,4月,18,18.7,17,143.7,158.4,125.3,131.1,141.6,117.9,12.6,16.8,7.4
30～99人,令和４,2022,5月,16.5,17,15.9,132.2,143.3,117.3,121.3,129.1,110.9,10.9,14.2,6.4
30～99人,令和４,2022,6月,18.1,18.9,17,144.6,158.1,127.6,132.9,143,120.2,11.7,15.1,7.4
30～99人,令和４,2022,7月,17.9,18.7,16.8,143.4,156.8,126,132,141.7,119.4,11.4,15.1,6.6
30～99人,令和４,2022,8月,16.6,17.3,15.8,132.9,145.7,116.6,122.5,131.7,110.8,10.4,14,5.8
30～99人,令和４,2022,9月,17.4,18,16.7,139.4,151.3,123.9,127.8,135.9,117.3,11.6,15.4,6.6
30～99人,令和４,2022,10月,17.3,18.1,16.4,139.2,151.6,123.4,127,135.6,116.1,12.2,16,7.3
