事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,TL 調査産業計,平成29,2017,年平均,411953,504879,279725,327748,396619,229749,305943,21805,84205,108260,49976
５人以上,TL 調査産業計,平成30,2018,年平均,413275,508281,284286,327195,396642,232907,305852,21343,86080,111639,51379
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,414622,512436,283337,328799,400237,232916,306124,22675,85823,112199,50421
５人以上,TL 調査産業計,令和２,2020,年平均,408589,501609,282969,327112,395910,234203,306261,20851,81477,105699,48766
５人以上,TL 調査産業計,令和３,2021,年平均,412797,504714,291341,331358,398960,242032,309193,22165,81439,105754,49309
５人以上,TL 調査産業計,令和４,2022,年平均,424429,523864,298909,336842,407872,247178,313426,23416,87587,115992,51731
５人以上,TL 調査産業計,令和４,2022,1月,346122,420547,250910,330804,400768,241300,308262,22542,15318,19779,9610
５人以上,TL 調査産業計,令和４,2022,2月,341333,415054,247789,330223,400572,240958,308353,21870,11110,14482,6831
５人以上,TL 調査産業計,令和４,2022,3月,380509,468757,268198,337607,409852,245662,314101,23506,42902,58905,22536
５人以上,TL 調査産業計,令和４,2022,4月,367092,448841,265344,342535,415445,251788,317121,25414,24557,33396,13556
５人以上,TL 調査産業計,令和４,2022,5月,361099,440345,260739,336159,406229,247419,312666,23493,24940,34116,13320
５人以上,TL 調査産業計,令和４,2022,6月,646136,819775,427779,336330,406120,248567,313441,22889,309806,413655,179212
５人以上,TL 調査産業計,令和４,2022,7月,469766,585838,323513,340670,412511,250149,316530,24140,129096,173327,73364
５人以上,TL 調査産業計,令和４,2022,8月,348179,422220,254842,336188,407038,246874,313750,22438,11991,15182,7968
