規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,19.2,18.1,155.3,162.2,144.5,139.8,144.4,132.6,15.5,17.8,11.9
100～499人,18.8,19.4,18,154.5,165,139.5,140.4,148.1,129.4,14.1,16.9,10.1
100人以上,18.8,19.3,18,154.9,163.6,141.9,140.1,146.3,130.9,14.8,17.3,11
30～99人,18.1,18.9,17,144.6,158.1,127.6,132.9,143,120.2,11.7,15.1,7.4
５～29人,17.4,18.6,16.2,130.1,147.9,112.7,122.9,137.3,108.9,7.2,10.6,3.8
30人以上,18.6,19.2,17.7,151.6,161.9,136.9,137.8,145.3,127.2,13.8,16.6,9.7
５人以上,18.2,19,17.2,145.2,158.2,128.7,133.4,143.2,121,11.8,15,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
