規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,18,152.1,138.1,14,12.6,76,73.4,2.6
５人以上,"鉱業,採石業,砂利採取業",16.6,138.2,118.7,19.5,10.5,69.5,68,1.5
５人以上,建設業,18,153.4,136.5,16.9,13.5,77.7,76.7,1
５人以上,製造業,17.5,147.2,135.6,11.6,14.2,95.5,88.3,7.2
５人以上,電気・ガス・熱供給・水道業,18,151.1,136.1,15,13.5,95.7,94.9,0.8
５人以上,情報通信業,17.7,152.3,136.1,16.2,12.5,78.6,74.4,4.2
５人以上,"運輸業,郵便業",18.2,161.7,141.1,20.6,14.3,97.4,91.5,5.9
５人以上,"卸売業,小売業",18.1,151.1,138.8,12.3,13.4,80.2,77.7,2.5
５人以上,"金融業,保険業",17.7,148.8,130.7,18.1,14.8,97,94.2,2.8
５人以上,"不動産業,物品賃貸業",18.6,156.4,141.1,15.3,14.9,81,78.4,2.6
５人以上,"学術研究,専門・技術サービス業",17.7,153.2,137.5,15.7,12.4,79,77.2,1.8
５人以上,"宿泊業,飲食サービス業",20.2,175.4,159.9,15.5,11.4,67.6,65.1,2.5
５人以上,"生活関連サービス業,娯楽業",19.1,156.8,148.1,8.7,12.7,80.9,78.8,2.1
５人以上,"教育,学習支援業",17.7,135.9,128.7,7.2,9.1,45.2,44.6,0.6
５人以上,"医療,福祉",18.4,148.5,141.3,7.2,11.6,65,63.7,1.3
５人以上,複合サービス事業,18.1,148.9,137.5,11.4,16.5,103.7,99.8,3.9
５人以上,サービス業（他に分類されないもの）,17.9,151.6,136.3,15.3,15.4,99.7,96.2,3.5
30人以上,調査産業計,18,152.5,137.2,15.3,13.3,83,79.8,3.2
30人以上,"鉱業,採石業,砂利採取業",16.6,138.2,118.7,19.5,10.5,69.5,68,1.5
30人以上,建設業,17.6,154.5,135.3,19.2,12.7,81.5,79.5,2
30人以上,製造業,17.5,149.8,136.4,13.4,15.5,110.7,98.3,12.4
30人以上,電気・ガス・熱供給・水道業,17.9,151.7,134.9,16.8,14.4,104.2,103.2,1
30人以上,情報通信業,17.7,152.8,136,16.8,12.9,80.3,75.8,4.5
30人以上,"運輸業,郵便業",18.1,161.4,140.2,21.2,14.5,102.3,95.1,7.2
30人以上,"卸売業,小売業",18,151.8,138.1,13.7,14.5,87.1,84.8,2.3
30人以上,"金融業,保険業",17.8,150.6,130.9,19.7,15,97.9,94.7,3.2
30人以上,"不動産業,物品賃貸業",18.5,156.5,140.2,16.3,15.8,80.8,78.5,2.3
30人以上,"学術研究,専門・技術サービス業",17.7,155.6,138,17.6,14.1,91.1,88.1,3
30人以上,"宿泊業,飲食サービス業",19.1,163.9,149.4,14.5,11.2,68.7,65,3.7
30人以上,"生活関連サービス業,娯楽業",18.3,156.2,142.3,13.9,11.5,77.4,74.4,3
30人以上,"教育,学習支援業",17.8,136.2,128.6,7.6,9.4,49.4,48.5,0.9
30人以上,"医療,福祉",18.7,150.7,142.5,8.2,12,68.9,67.6,1.3
30人以上,複合サービス事業,18.5,152,137.8,14.2,17.5,99.6,93.1,6.5
30人以上,サービス業（他に分類されないもの）,17.9,152.4,136.7,15.7,15.6,102.7,98.9,3.8
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年５月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
