規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18,152.3,135.9,16.4,12.7,83.3,79.9,3.4
100～499人,18,154.1,138.5,15.6,14.7,93.4,89.2,4.2
100人以上,18,153.2,137.2,16,14,89.8,85.9,3.9
30～99人,17.8,151,137.3,13.7,12.5,74.2,72,2.2
５～29人,18.3,150.6,140.8,9.8,11.8,68.4,66.5,1.9
30人以上,18,152.5,137.2,15.3,13.3,83,79.8,3.2
５人以上,18,152.1,138.1,14,12.6,76,73.4,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
