事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成29,2017,年平均,18,18.8,16.9,143,156,124.7,131.7,141.5,117.8,11.3,14.5,6.9
５人以上,TL 調査産業計,平成30,2018,年平均,17.9,18.7,16.8,141.1,153.6,124.1,130.2,139.9,117,10.9,13.7,7.1
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.4,18.2,16.3,138.1,150.8,121.1,126.7,136.4,113.8,11.4,14.4,7.3
５人以上,TL 調査産業計,令和２,2020,年平均,17.1,17.9,15.9,134.5,147,117.6,124.2,133.8,111.2,10.3,13.2,6.4
５人以上,TL 調査産業計,令和３,2021,年平均,17.3,18.1,16.2,137.6,149.7,121.5,126.4,135.5,114.3,11.2,14.2,7.2
５人以上,TL 調査産業計,令和４,2022,年平均,17.3,18.1,16.3,138.4,151.1,122.3,126.7,136.1,114.7,11.7,15,7.6
５人以上,TL 調査産業計,令和４,2022,1月,16.4,17.2,15.5,131.4,143.5,115.7,120.2,129.2,108.6,11.2,14.3,7.1
５人以上,TL 調査産業計,令和４,2022,2月,16.4,17.2,15.4,130.9,143.7,114.7,119.6,129.1,107.5,11.3,14.6,7.2
５人以上,TL 調査産業計,令和４,2022,3月,17.4,18.2,16.4,139.4,152.6,122.3,126.9,136.7,114.3,12.5,15.9,8
５人以上,TL 調査産業計,令和４,2022,4月,18,18.9,16.9,143.8,157.7,126.5,131.4,141.8,118.4,12.4,15.9,8.1
５人以上,TL 調査産業計,令和４,2022,5月,16.7,17.4,15.9,133.6,145.1,119.1,122.4,130.8,111.8,11.2,14.3,7.3
５人以上,TL 調査産業計,令和４,2022,6月,18.2,19,17.2,145.2,158.2,128.7,133.4,143.2,121,11.8,15,7.7
５人以上,TL 調査産業計,令和４,2022,7月,17.9,18.8,16.8,143.2,156.4,126.3,131.4,141.4,118.7,11.8,15,7.6
５人以上,TL 調査産業計,令和４,2022,8月,17,17.7,16.1,135.6,147.4,120.7,124.7,133.5,113.6,10.9,13.9,7.1
５人以上,TL 調査産業計,令和４,2022,9月,17.4,18.1,16.5,138.9,150.7,123.9,127.4,136.1,116.4,11.5,14.6,7.5
５人以上,TL 調査産業計,令和４,2022,10月,17.4,18.2,16.3,139,151.9,122.9,127,136.5,115.2,12,15.4,7.7
５人以上,TL 調査産業計,令和４,2022,11月,17.5,18.4,16.5,139.9,153,123.7,128,137.8,115.9,11.9,15.2,7.8
５人以上,TL 調査産業計,令和４,2022,12月,17.4,18.3,16.3,139.4,152.5,122.8,127.5,137.3,115.1,11.9,15.2,7.7
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,18.9,18.3,154.7,158.9,142.9,135.1,136.9,130,19.6,22,12.9
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,18.7,18.2,154.6,157.9,143.5,136,137.5,130.9,18.6,20.4,12.6
