規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,162,144.9,17.1,13,84.4,81.1,3.3
100～499人,19.5,166.4,150.3,16.1,14.8,93.8,89.8,4
100人以上,19.4,164.1,147.5,16.6,14.2,90.5,86.7,3.8
30～99人,19.2,161.3,147.4,13.9,13.2,79.6,77.2,2.4
５～29人,19.9,163.5,152.6,10.9,12.5,72.1,70.1,2
30人以上,19.3,163.3,147.5,15.8,13.8,86,82.8,3.2
５人以上,19.4,163.3,148.7,14.6,13.2,79.1,76.5,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
