事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成29,2017,年平均,18.3,18.9,17.4,146.7,157.4,130.3,134.3,142.1,122.3,12.4,15.3,8
30人以上,TL 調査産業計,平成30,2018,年平均,18.3,18.9,17.3,146.5,156.7,131.2,134.2,141.8,122.9,12.3,14.9,8.3
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,17.7,18.4,16.8,143.2,153.6,127.7,130.2,137.7,119,13,15.9,8.7
30人以上,TL 調査産業計,令和２,2020,年平均,17.4,18.1,16.5,139.7,149.8,124.5,127.8,135.3,116.6,11.9,14.5,7.9
30人以上,TL 調査産業計,令和３,2021,年平均,17.7,18.2,16.8,143.5,153.1,129.3,130.5,137.4,120.3,13,15.7,9
30人以上,TL 調査産業計,令和４,2022,年平均,17.7,18.3,16.9,145,155,130.7,131.3,138.4,121.2,13.7,16.6,9.5
30人以上,TL 調査産業計,令和４,2022,1月,16.8,17.4,16.1,137.6,147.6,123.7,124.6,131.7,114.7,13,15.9,9
30人以上,TL 調査産業計,令和４,2022,2月,16.6,17.2,15.8,136.3,146.8,121.4,123,130.5,112.4,13.3,16.3,9
30人以上,TL 調査産業計,令和４,2022,3月,17.8,18.4,17,146.3,157,131.1,131.7,139.2,121,14.6,17.8,10.1
30人以上,TL 調査産業計,令和４,2022,4月,18.4,19.1,17.5,150.6,162.2,134.7,136,144.4,124.5,14.6,17.8,10.2
30人以上,TL 調査産業計,令和４,2022,5月,17.1,17.6,16.5,140.2,149.2,127.2,127,133.3,118,13.2,15.9,9.2
30人以上,TL 調査産業計,令和４,2022,6月,18.6,19.2,17.7,151.6,161.9,136.9,137.8,145.3,127.2,13.8,16.6,9.7
30人以上,TL 調査産業計,令和４,2022,7月,18.4,19,17.4,150,160.5,135.3,136.4,143.9,125.8,13.6,16.6,9.5
30人以上,TL 調査産業計,令和４,2022,8月,17.5,18,16.8,142.7,151.9,130,130.1,136.5,121.2,12.6,15.4,8.8
30人以上,TL 調査産業計,令和４,2022,9月,17.7,18.2,17,145,154.1,132.3,131.7,138,122.9,13.3,16.1,9.4
30人以上,TL 調査産業計,令和４,2022,10月,17.8,18.4,16.9,146,156.1,132.1,132,139,122.3,14,17.1,9.8
30人以上,TL 調査産業計,令和４,2022,11月,18,18.6,17.1,146.8,157.3,132.4,132.9,140.3,122.7,13.9,17,9.7
30人以上,TL 調査産業計,令和４,2022,12月,17.8,18.4,16.9,145.9,156.1,131.4,132,139.2,121.8,13.9,16.9,9.6
