規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,154.8,138.5,16.3,12.8,84.7,81.3,3.4
100～499人,18.7,160.8,145.2,15.6,14.6,93.1,89,4.1
100人以上,18.5,157.8,141.8,16,14,90.2,86.3,3.9
30～99人,18.7,158.3,143.9,14.4,13.3,76.8,74.7,2.1
５～29人,19.6,160.7,150,10.7,12.3,71.3,69.2,2.1
30人以上,18.5,157.9,142.4,15.5,13.7,84.4,81.3,3.1
５人以上,18.8,158.6,144.2,14.4,13,77.9,75.3,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
