規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,488398,572670,359429,440070,511078,331400,402635,37435,48328,61592,28029
100～499人,384115,451393,290029,366147,429226,277932,337582,28565,17968,22167,12097
100人以上,435006,511687,322969,402222,469919,303310,369329,32893,32784,41768,19659
30～99人,325055,385861,243831,312430,370820,234433,293606,18824,12625,15041,9398
５～29人,269070,349541,191048,247399,313400,183406,235547,11852,21671,36141,7642
30人以上,399704,472306,296649,373392,438903,280403,345016,28376,26312,33403,16246
５人以上,361099,440345,260739,336159,406229,247419,312666,23493,24940,34116,13320
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
